Batch_ID,RR_Retailer_Name,RR_Receipt_Date,RR_Received_Quantity,RR_Stock_as_on,RR_Stock_as_on_Date,RR_City,RR_Transit
BF2025010016,R122,17-02-2025,393,314,03-03-2025,Hyderabad,2
BF2025010016,R52,24-02-2025,306,177,17-03-2025,Hyderabad,2
BF2025010016,R16,18-02-2025,157,112,11-03-2025,Hyderabad,1
BF2025010016,R196,28-02-2025,461,328,21-03-2025,Hyderabad,2
BF2025010016,R100,02-03-2025,30,16,24-03-2025,Hyderabad,2
BF2025010020,R98,30-01-2025,466,260,10-02-2025,Kolkata,2
BF2025010020,R85,01-02-2025,171,99,14-02-2025,Kolkata,2
BF2025010020,R67,03-02-2025,69,48,15-02-2025,Kolkata,2
BF2025010020,R1,04-02-2025,116,73,17-02-2025,Kolkata,1
BF2025010020,R35,03-02-2025,164,127,21-02-2025,Kolkata,2
BF2025010020,R58,04-02-2025,531,357,25-02-2025,Kolkata,2
BF2025010020,R77,10-02-2025,471,360,23-02-2025,Kolkata,1
BF2025010020,R121,12-02-2025,321,245,07-03-2025,Kolkata,1
BF2025010024,R100,30-01-2025,756,520,14-02-2025,Pune,2
BF2025010024,R46,31-01-2025,288,162,18-02-2025,Pune,1
BF2025010024,R117,02-02-2025,261,178,23-02-2025,Pune,1
BF2025010024,R95,05-02-2025,340,269,16-02-2025,Pune,2
BF2025010024,R195,02-02-2025,708,447,17-02-2025,Pune,1
BF2025010024,R65,08-02-2025,570,338,03-03-2025,Pune,1
BF2025010024,R88,11-02-2025,1103,916,24-02-2025,Pune,2
BF2025010030,R44,03-02-2025,507,347,23-02-2025,Hyderabad,1
BF2025010030,R47,05-02-2025,280,195,27-02-2025,Hyderabad,2
BF2025010030,R176,07-02-2025,225,147,18-02-2025,Hyderabad,1
BF2025010030,R13,07-02-2025,285,177,27-02-2025,Hyderabad,2
BF2025010030,R149,12-02-2025,401,227,01-03-2025,Hyderabad,2
BF2025010030,R68,09-02-2025,113,85,24-02-2025,Hyderabad,2
BF2025010030,R113,16-02-2025,375,239,06-03-2025,Hyderabad,2
BF2025010030,R9,10-02-2025,434,348,06-03-2025,Hyderabad,1
BF2025010030,R85,19-02-2025,484,286,16-03-2025,Hyderabad,1
BF2025010030,R66,12-02-2025,6,3,01-03-2025,Hyderabad,1
BF2025010035,R197,26-01-2025,299,186,16-02-2025,Pune,1
BF2025010035,R177,28-01-2025,27,17,07-02-2025,Pune,1
BF2025010035,R133,29-01-2025,910,708,19-02-2025,Pune,2
BF2025010035,R60,01-02-2025,685,490,22-02-2025,Pune,1
BF2025010035,R70,30-01-2025,732,477,10-02-2025,Pune,1
BF2025010035,R167,01-02-2025,994,628,13-02-2025,Pune,2
BF2025010035,R200,08-02-2025,265,145,20-02-2025,Pune,2
BF2025010041,R196,25-01-2025,154,90,17-02-2025,Pune,2
BF2025010041,R2,27-01-2025,127,64,21-02-2025,Pune,2
BF2025010041,R78,26-01-2025,144,101,17-02-2025,Pune,1
BF2025010041,R179,31-01-2025,113,77,11-02-2025,Pune,2
BF2025010041,R109,02-02-2025,126,70,20-02-2025,Pune,2
BF2025010041,R132,03-02-2025,109,78,14-02-2025,Pune,1
BF2025010041,R135,30-01-2025,91,55,23-02-2025,Pune,1
BF2025010041,R99,31-01-2025,40,33,20-02-2025,Pune,1
BF2025010041,R180,10-02-2025,182,140,26-02-2025,Pune,2
BF2025010042,R141,08-02-2025,111,88,27-02-2025,Bangalore,1
BF2025010042,R117,10-02-2025,780,611,28-02-2025,Bangalore,2
BF2025010042,R50,12-02-2025,138,69,24-02-2025,Bangalore,1
BF2025010042,R123,11-02-2025,654,514,06-03-2025,Bangalore,1
BF2025010042,R138,13-02-2025,187,131,08-03-2025,Bangalore,2
BF2025010042,R22,14-02-2025,824,590,04-03-2025,Bangalore,2
BF2025010042,R88,14-02-2025,746,473,25-02-2025,Bangalore,1
BF2025010042,R105,22-02-2025,207,137,16-03-2025,Bangalore,1
BF2025010043,R107,31-01-2025,215,133,11-02-2025,Kolkata,2
BF2025010043,R199,31-01-2025,125,81,14-02-2025,Kolkata,1
BF2025010043,R184,01-02-2025,228,144,18-02-2025,Kolkata,1
BF2025010043,R31,05-02-2025,164,136,02-03-2025,Kolkata,1
BF2025010043,R109,07-02-2025,182,117,25-02-2025,Kolkata,1
BF2025010043,R44,05-02-2025,231,143,01-03-2025,Kolkata,2
BF2025010043,R80,05-02-2025,151,111,27-02-2025,Kolkata,1
BF2025010043,R192,14-02-2025,291,233,08-03-2025,Kolkata,2
BF2025010060,R104,12-01-2025,173,117,29-01-2025,Bangalore,1
BF2025010060,R167,13-01-2025,1395,773,05-02-2025,Bangalore,1
BF2025010060,R142,16-01-2025,152,96,03-02-2025,Bangalore,1
BF2025010060,R109,15-01-2025,443,340,28-01-2025,Bangalore,1
BF2025010060,R113,17-01-2025,1103,817,04-02-2025,Bangalore,2
BF2025010060,R11,18-01-2025,595,388,07-02-2025,Bangalore,2
BF2025010060,R176,18-01-2025,1010,786,11-02-2025,Bangalore,1
BF2025010060,R117,27-01-2025,553,379,19-02-2025,Bangalore,2
BF2025010077,R58,18-01-2025,691,579,11-02-2025,Mumbai,2
BF2025010077,R199,19-01-2025,260,168,06-02-2025,Mumbai,1
BF2025010077,R114,21-01-2025,578,355,08-02-2025,Mumbai,1
BF2025010077,R62,20-01-2025,1683,872,02-02-2025,Mumbai,1
BF2025010077,R65,22-01-2025,1654,880,09-02-2025,Mumbai,2
BF2025010086,R143,05-02-2025,678,400,27-02-2025,Delhi,2
BF2025010086,R29,06-02-2025,1188,811,21-02-2025,Delhi,1
BF2025010086,R145,07-02-2025,1470,1054,23-02-2025,Delhi,2
BF2025010086,R86,07-02-2025,685,510,21-02-2025,Delhi,1
BF2025010086,R22,09-02-2025,39,32,06-03-2025,Delhi,2
BF2025010089,R101,04-02-2025,167,126,26-02-2025,Mumbai,2
BF2025010089,R77,04-02-2025,336,226,21-02-2025,Mumbai,1
BF2025010089,R81,06-02-2025,248,198,01-03-2025,Mumbai,2
BF2025010089,R63,06-02-2025,293,195,02-03-2025,Mumbai,1
BF2025010089,R142,07-02-2025,830,496,01-03-2025,Mumbai,1
BF2025010098,R26,17-02-2025,657,557,04-03-2025,Bangalore,2
BF2025010098,R42,19-02-2025,531,447,06-03-2025,Bangalore,2
BF2025010098,R87,18-02-2025,1387,1062,03-03-2025,Bangalore,1
BF2025010098,R77,19-02-2025,111,61,14-03-2025,Bangalore,1
BF2025010098,R179,21-02-2025,939,622,16-03-2025,Bangalore,2
BF2025010105,R123,30-01-2025,47,29,14-02-2025,Hyderabad,1
BF2025010105,R1,01-02-2025,9,6,16-02-2025,Hyderabad,1
BF2025010105,R93,03-02-2025,199,101,13-02-2025,Hyderabad,1
BF2025010105,R110,02-02-2025,178,148,15-02-2025,Hyderabad,1
BF2025010105,R137,08-02-2025,48,40,02-03-2025,Hyderabad,2
BF2025010105,R169,10-02-2025,68,57,23-02-2025,Hyderabad,2
BF2025010105,R186,12-02-2025,86,48,28-02-2025,Hyderabad,2
BF2025010105,R33,14-02-2025,203,157,09-03-2025,Hyderabad,2
BF2025010105,R95,08-02-2025,42,28,26-02-2025,Hyderabad,2
BF2025010105,R142,09-02-2025,87,57,05-03-2025,Hyderabad,2
BF2025010107,R104,07-02-2025,22,12,24-02-2025,Chennai,2
BF2025010107,R50,08-02-2025,512,368,25-02-2025,Chennai,1
BF2025010107,R193,10-02-2025,490,307,24-02-2025,Chennai,1
BF2025010107,R34,10-02-2025,171,94,01-03-2025,Chennai,2
BF2025010107,R106,14-02-2025,542,379,05-03-2025,Chennai,1
BF2025010107,R115,12-02-2025,362,295,23-02-2025,Chennai,2
BF2025010107,R195,19-02-2025,91,60,05-03-2025,Chennai,2
BF2025010107,R145,21-02-2025,381,241,17-03-2025,Chennai,2
BF2025010107,R36,14-02-2025,87,56,24-02-2025,Chennai,1
BF2025010107,R163,16-02-2025,47,34,04-03-2025,Chennai,2
BF2025010110,R149,21-01-2025,532,370,08-02-2025,Chennai,1
BF2025010110,R189,24-01-2025,122,94,05-02-2025,Chennai,2
BF2025010110,R54,23-01-2025,85,62,10-02-2025,Chennai,1
BF2025010110,R129,28-01-2025,335,272,10-02-2025,Chennai,2
BF2025010110,R123,29-01-2025,286,163,19-02-2025,Chennai,1
BF2025010110,R35,01-02-2025,333,227,25-02-2025,Chennai,2
BF2025010110,R31,02-02-2025,465,347,15-02-2025,Chennai,1
BF2025010110,R25,04-02-2025,337,280,21-02-2025,Chennai,1
BF2025010110,R36,30-01-2025,472,329,22-02-2025,Chennai,2
BF2025010111,R144,09-02-2025,463,367,22-02-2025,Mumbai,2
BF2025010111,R193,10-02-2025,18,11,03-03-2025,Mumbai,2
BF2025010111,R16,11-02-2025,351,280,05-03-2025,Mumbai,2
BF2025010111,R186,11-02-2025,413,285,21-02-2025,Mumbai,1
BF2025010111,R161,17-02-2025,2,1,13-03-2025,Mumbai,2
BF2025010111,R100,14-02-2025,470,309,26-02-2025,Mumbai,2
BF2025010111,R132,14-02-2025,329,225,07-03-2025,Mumbai,1
BF2025010111,R9,22-02-2025,337,272,07-03-2025,Mumbai,1
BF2025010138,R92,24-02-2025,3,1,06-03-2025,Kolkata,2
BF2025010138,R127,25-02-2025,9,4,22-03-2025,Kolkata,2
BF2025010138,R68,27-02-2025,1,0,15-03-2025,Kolkata,1
BF2025010138,R51,26-02-2025,10,7,20-03-2025,Kolkata,1
BF2025010138,R48,04-03-2025,2,1,14-03-2025,Kolkata,2
BF2025010144,R169,08-02-2025,294,197,20-02-2025,Delhi,2
BF2025010144,R13,09-02-2025,142,108,02-03-2025,Delhi,2
BF2025010144,R155,09-02-2025,315,254,25-02-2025,Delhi,1
BF2025010144,R18,14-02-2025,58,42,28-02-2025,Delhi,2
BF2025010144,R61,12-02-2025,409,262,05-03-2025,Delhi,2
BF2025010144,R98,13-02-2025,372,244,09-03-2025,Delhi,2
BF2025010144,R75,13-02-2025,440,321,02-03-2025,Delhi,1
BF2025010144,R17,22-02-2025,136,75,13-03-2025,Delhi,2
BF2025010144,R126,15-02-2025,286,156,25-02-2025,Delhi,1
BF2025020145,R107,17-02-2025,721,458,10-03-2025,Ahmedabad,1
BF2025020145,R5,18-02-2025,165,105,02-03-2025,Ahmedabad,1
BF2025020145,R160,21-02-2025,226,124,14-03-2025,Ahmedabad,1
BF2025020145,R99,21-02-2025,515,378,14-03-2025,Ahmedabad,2
BF2025020145,R75,22-02-2025,176,125,17-03-2025,Ahmedabad,2
BF2025020145,R54,28-02-2025,49,39,10-03-2025,Ahmedabad,2
BF2025020145,R156,01-03-2025,721,604,23-03-2025,Ahmedabad,1
BF2025020145,R77,25-02-2025,351,221,08-03-2025,Ahmedabad,2
BF2025020145,R94,05-03-2025,802,481,23-03-2025,Ahmedabad,1
BF2025020145,R162,26-02-2025,315,172,19-03-2025,Ahmedabad,1
BF2025020152,R153,13-03-2025,789,404,05-04-2025,Pune,1
BF2025020152,R127,15-03-2025,293,208,04-04-2025,Pune,1
BF2025020152,R12,18-03-2025,316,182,01-04-2025,Pune,2
BF2025020152,R68,19-03-2025,880,484,13-04-2025,Pune,1
BF2025020152,R106,18-03-2025,607,342,29-03-2025,Pune,2
BF2025020152,R71,18-03-2025,506,270,06-04-2025,Pune,1
BF2025020152,R142,19-03-2025,186,151,10-04-2025,Pune,1
BF2025020155,R51,17-02-2025,565,437,08-03-2025,Pune,2
BF2025020155,R146,17-02-2025,505,283,04-03-2025,Pune,1
BF2025020155,R26,21-02-2025,605,374,14-03-2025,Pune,2
BF2025020155,R161,23-02-2025,710,556,10-03-2025,Pune,2
BF2025020155,R1,21-02-2025,349,267,12-03-2025,Pune,2
BF2025020155,R61,26-02-2025,384,322,13-03-2025,Pune,1
BF2025020155,R132,23-02-2025,23,14,20-03-2025,Pune,2
BF2025020166,R67,02-03-2025,111,58,21-03-2025,Chennai,1
BF2025020166,R37,04-03-2025,26,18,22-03-2025,Chennai,1
BF2025020166,R152,05-03-2025,143,73,21-03-2025,Chennai,2
BF2025020166,R4,06-03-2025,145,100,20-03-2025,Chennai,2
BF2025020166,R9,10-03-2025,153,125,22-03-2025,Chennai,1
BF2025020166,R132,12-03-2025,60,44,27-03-2025,Chennai,1
BF2025020166,R174,09-03-2025,95,75,24-03-2025,Chennai,2
BF2025020166,R170,09-03-2025,37,21,24-03-2025,Chennai,1
BF2025020166,R136,10-03-2025,132,85,30-03-2025,Chennai,1
BF2025020171,R95,13-02-2025,740,569,27-02-2025,Pune,2
BF2025020171,R142,13-02-2025,351,288,09-03-2025,Pune,1
BF2025020171,R143,16-02-2025,407,305,26-02-2025,Pune,1
BF2025020171,R105,16-02-2025,795,475,08-03-2025,Pune,2
BF2025020171,R146,20-02-2025,525,374,06-03-2025,Pune,1
BF2025020175,R168,02-03-2025,63,51,18-03-2025,Mumbai,2
BF2025020175,R31,03-03-2025,202,118,17-03-2025,Mumbai,1
BF2025020175,R71,04-03-2025,92,77,27-03-2025,Mumbai,2
BF2025020175,R4,04-03-2025,118,99,23-03-2025,Mumbai,1
BF2025020175,R82,09-03-2025,8,6,23-03-2025,Mumbai,1
BF2025020175,R15,11-03-2025,8,5,26-03-2025,Mumbai,1
BF2025020175,R191,08-03-2025,66,49,30-03-2025,Mumbai,2
BF2025020175,R19,16-03-2025,196,115,09-04-2025,Mumbai,2
BF2025020175,R142,18-03-2025,73,53,08-04-2025,Mumbai,2
BF2025020175,R26,11-03-2025,157,129,05-04-2025,Mumbai,2
BF2025020178,R147,27-02-2025,92,77,19-03-2025,Delhi,1
BF2025020178,R99,02-03-2025,61,36,19-03-2025,Delhi,2
BF2025020178,R38,02-03-2025,66,55,24-03-2025,Delhi,2
BF2025020178,R83,06-03-2025,64,32,30-03-2025,Delhi,2
BF2025020178,R93,03-03-2025,68,34,18-03-2025,Delhi,1
BF2025020178,R111,10-03-2025,52,37,04-04-2025,Delhi,2
BF2025020178,R21,12-03-2025,41,31,23-03-2025,Delhi,2
BF2025020178,R70,07-03-2025,5,2,19-03-2025,Delhi,2
BF2025020178,R69,07-03-2025,78,53,24-03-2025,Delhi,1
BF2025020178,R26,09-03-2025,56,29,02-04-2025,Delhi,2
BF2025020181,R132,04-03-2025,47,39,26-03-2025,Bangalore,2
BF2025020181,R60,06-03-2025,55,45,21-03-2025,Bangalore,2
BF2025020181,R41,05-03-2025,69,47,18-03-2025,Bangalore,1
BF2025020181,R65,06-03-2025,10,6,21-03-2025,Bangalore,1
BF2025020181,R193,08-03-2025,50,25,22-03-2025,Bangalore,2
BF2025020181,R181,09-03-2025,60,39,02-04-2025,Bangalore,2
BF2025020181,R10,10-03-2025,9,6,31-03-2025,Bangalore,2
BF2025020182,R182,18-03-2025,43,32,30-03-2025,Mumbai,2
BF2025020182,R54,18-03-2025,54,43,12-04-2025,Mumbai,1
BF2025020182,R57,20-03-2025,36,24,01-04-2025,Mumbai,2
BF2025020182,R179,20-03-2025,92,48,05-04-2025,Mumbai,1
BF2025020182,R6,26-03-2025,59,41,06-04-2025,Mumbai,2
BF2025020182,R32,27-03-2025,36,20,10-04-2025,Mumbai,1
BF2025020186,R76,05-03-2025,1099,891,21-03-2025,Hyderabad,1
BF2025020186,R62,07-03-2025,215,153,30-03-2025,Hyderabad,2
BF2025020186,R79,08-03-2025,622,365,28-03-2025,Hyderabad,2
BF2025020186,R73,11-03-2025,923,696,23-03-2025,Hyderabad,1
BF2025020186,R101,13-03-2025,324,232,05-04-2025,Hyderabad,1
BF2025020189,R158,26-02-2025,469,310,13-03-2025,Pune,1
BF2025020189,R196,27-02-2025,61,50,22-03-2025,Pune,1
BF2025020189,R187,28-02-2025,483,249,17-03-2025,Pune,1
BF2025020189,R70,02-03-2025,353,188,21-03-2025,Pune,2
BF2025020189,R42,06-03-2025,294,199,22-03-2025,Pune,1
BF2025020191,R120,17-02-2025,24,13,11-03-2025,Kolkata,1
BF2025020191,R74,20-02-2025,267,138,09-03-2025,Kolkata,2
BF2025020191,R32,21-02-2025,97,80,03-03-2025,Kolkata,1
BF2025020191,R13,20-02-2025,128,87,05-03-2025,Kolkata,1
BF2025020191,R96,26-02-2025,242,130,17-03-2025,Kolkata,2
BF2025020191,R150,28-02-2025,142,120,15-03-2025,Kolkata,2
BF2025020192,R95,09-02-2025,100,63,24-02-2025,Ahmedabad,1
BF2025020192,R43,12-02-2025,25,16,06-03-2025,Ahmedabad,2
BF2025020192,R160,12-02-2025,60,43,06-03-2025,Ahmedabad,2
BF2025020192,R109,16-02-2025,52,43,08-03-2025,Ahmedabad,2
BF2025020192,R66,17-02-2025,104,65,27-02-2025,Ahmedabad,1
BF2025020192,R64,15-02-2025,184,95,26-02-2025,Ahmedabad,2
BF2025020192,R161,15-02-2025,133,79,25-02-2025,Ahmedabad,1
BF2025020192,R82,24-02-2025,112,77,14-03-2025,Ahmedabad,2
BF2025020192,R36,18-02-2025,11,9,07-03-2025,Ahmedabad,2
BF2025020192,R25,19-02-2025,32,16,11-03-2025,Ahmedabad,2
BF2025020194,R161,18-02-2025,70,57,02-03-2025,Ahmedabad,2
BF2025020194,R86,18-02-2025,224,174,09-03-2025,Ahmedabad,1
BF2025020194,R126,20-02-2025,471,355,09-03-2025,Ahmedabad,2
BF2025020194,R133,20-02-2025,235,120,14-03-2025,Ahmedabad,1
BF2025020194,R193,21-02-2025,446,269,12-03-2025,Ahmedabad,1
BF2025020194,R29,22-02-2025,140,99,15-03-2025,Ahmedabad,1
BF2025020194,R63,24-02-2025,135,112,17-03-2025,Ahmedabad,2
BF2025020196,R17,06-03-2025,18,12,23-03-2025,Pune,1
BF2025020196,R73,08-03-2025,44,36,23-03-2025,Pune,2
BF2025020196,R109,08-03-2025,114,57,27-03-2025,Pune,1
BF2025020196,R78,12-03-2025,89,65,03-04-2025,Pune,1
BF2025020196,R79,14-03-2025,156,88,07-04-2025,Pune,1
BF2025020196,R48,12-03-2025,4,3,30-03-2025,Pune,2
BF2025020208,R33,07-03-2025,370,301,30-03-2025,Delhi,2
BF2025020208,R110,07-03-2025,449,243,25-03-2025,Delhi,1
BF2025020208,R14,11-03-2025,744,429,31-03-2025,Delhi,2
BF2025020208,R190,12-03-2025,721,435,26-03-2025,Delhi,1
BF2025020208,R79,15-03-2025,536,327,09-04-2025,Delhi,2
BF2025020208,R145,17-03-2025,270,158,09-04-2025,Delhi,2
BF2025020208,R120,19-03-2025,517,260,10-04-2025,Delhi,2
BF2025020208,R103,14-03-2025,336,210,31-03-2025,Delhi,2
BF2025020208,R160,22-03-2025,601,479,11-04-2025,Delhi,1
BF2025020208,R167,25-03-2025,60,42,09-04-2025,Delhi,2
BF2025020211,R56,14-02-2025,558,452,09-03-2025,Chennai,1
BF2025020211,R145,16-02-2025,1141,793,05-03-2025,Chennai,2
BF2025020211,R106,17-02-2025,771,646,04-03-2025,Chennai,2
BF2025020211,R130,18-02-2025,354,184,12-03-2025,Chennai,2
BF2025020211,R7,18-02-2025,393,231,07-03-2025,Chennai,1
BF2025020211,R11,20-02-2025,824,615,07-03-2025,Chennai,2
BF2025020217,R3,09-03-2025,202,117,19-03-2025,Bangalore,1
BF2025020217,R188,11-03-2025,64,49,04-04-2025,Bangalore,1
BF2025020217,R73,13-03-2025,195,134,01-04-2025,Bangalore,1
BF2025020217,R37,15-03-2025,37,23,03-04-2025,Bangalore,1
BF2025020217,R33,18-03-2025,208,128,03-04-2025,Bangalore,2
BF2025020217,R180,20-03-2025,23,13,03-04-2025,Bangalore,2
BF2025020217,R95,22-03-2025,83,48,02-04-2025,Bangalore,2
BF2025020217,R146,23-03-2025,57,43,10-04-2025,Bangalore,1
BF2025020225,R125,03-03-2025,434,291,13-03-2025,Mumbai,1
BF2025020225,R30,05-03-2025,311,181,30-03-2025,Mumbai,2
BF2025020225,R29,06-03-2025,481,266,30-03-2025,Mumbai,2
BF2025020225,R155,07-03-2025,424,258,01-04-2025,Mumbai,2
BF2025020225,R135,07-03-2025,63,40,17-03-2025,Mumbai,1
BF2025020227,R31,13-03-2025,74,61,06-04-2025,Delhi,1
BF2025020227,R83,15-03-2025,23,16,25-03-2025,Delhi,2
BF2025020227,R166,17-03-2025,71,57,01-04-2025,Delhi,1
BF2025020227,R95,16-03-2025,31,24,29-03-2025,Delhi,1
BF2025020227,R133,22-03-2025,149,108,07-04-2025,Delhi,2
BF2025020227,R103,24-03-2025,60,31,14-04-2025,Delhi,2
BF2025020227,R3,25-03-2025,90,75,07-04-2025,Delhi,1
BF2025020227,R47,28-03-2025,127,90,17-04-2025,Delhi,2
BF2025020233,R133,20-02-2025,118,73,15-03-2025,Bangalore,2
BF2025020233,R172,22-02-2025,106,75,18-03-2025,Bangalore,2
BF2025020233,R6,21-02-2025,11,5,15-03-2025,Bangalore,1
BF2025020233,R92,22-02-2025,165,125,19-03-2025,Bangalore,1
BF2025020233,R166,24-02-2025,143,92,07-03-2025,Bangalore,2
BF2025020236,R125,04-03-2025,78,52,14-03-2025,Delhi,1
BF2025020236,R67,06-03-2025,136,83,26-03-2025,Delhi,2
BF2025020236,R199,07-03-2025,67,36,30-03-2025,Delhi,2
BF2025020236,R131,10-03-2025,70,49,31-03-2025,Delhi,1
BF2025020236,R155,12-03-2025,8,5,03-04-2025,Delhi,1
BF2025020236,R66,09-03-2025,51,29,22-03-2025,Delhi,1
BF2025020236,R44,17-03-2025,125,101,05-04-2025,Delhi,2
BF2025020236,R71,18-03-2025,130,79,05-04-2025,Delhi,1
BF2025020236,R79,21-03-2025,121,94,02-04-2025,Delhi,2
BF2025020236,R60,23-03-2025,19,13,17-04-2025,Delhi,2
BF2025020243,R107,22-02-2025,1021,851,11-03-2025,Bangalore,2
BF2025020243,R113,24-02-2025,785,630,18-03-2025,Bangalore,2
BF2025020243,R133,23-02-2025,275,223,16-03-2025,Bangalore,1
BF2025020243,R190,25-02-2025,719,452,18-03-2025,Bangalore,2
BF2025020243,R75,02-03-2025,116,79,23-03-2025,Bangalore,2
BF2025020243,R96,04-03-2025,586,450,15-03-2025,Bangalore,2
BF2025020243,R180,05-03-2025,912,738,20-03-2025,Bangalore,1
BF2025020243,R33,07-03-2025,590,455,26-03-2025,Bangalore,1
BF2025020243,R119,10-03-2025,360,226,22-03-2025,Bangalore,2
BF2025020250,R117,26-02-2025,171,134,08-03-2025,Ahmedabad,1
BF2025020250,R164,28-02-2025,118,100,11-03-2025,Ahmedabad,2
BF2025020250,R8,01-03-2025,154,118,15-03-2025,Ahmedabad,2
BF2025020250,R186,05-03-2025,116,97,19-03-2025,Ahmedabad,2
BF2025020250,R118,02-03-2025,69,41,27-03-2025,Ahmedabad,1
BF2025020250,R154,08-03-2025,179,147,18-03-2025,Ahmedabad,1
BF2025020250,R185,05-03-2025,4,2,22-03-2025,Ahmedabad,2
BF2025020250,R16,05-03-2025,3,2,30-03-2025,Ahmedabad,1
BF2025020250,R122,07-03-2025,89,46,28-03-2025,Ahmedabad,2
BF2025020254,R161,03-03-2025,71,37,24-03-2025,Chennai,2
BF2025020254,R142,03-03-2025,62,40,18-03-2025,Chennai,1
BF2025020254,R92,06-03-2025,118,62,30-03-2025,Chennai,1
BF2025020254,R98,09-03-2025,114,95,22-03-2025,Chennai,2
BF2025020254,R115,06-03-2025,59,42,28-03-2025,Chennai,1
BF2025020254,R177,12-03-2025,153,104,31-03-2025,Chennai,1
BF2025020254,R33,08-03-2025,91,60,29-03-2025,Chennai,1
BF2025020254,R67,16-03-2025,52,30,30-03-2025,Chennai,1
BF2025020254,R14,18-03-2025,97,61,02-04-2025,Chennai,1
BF2025020256,R130,01-03-2025,82,54,16-03-2025,Ahmedabad,1
BF2025020256,R191,03-03-2025,172,124,13-03-2025,Ahmedabad,1
BF2025020256,R35,04-03-2025,2,1,21-03-2025,Ahmedabad,2
BF2025020256,R40,05-03-2025,183,147,28-03-2025,Ahmedabad,2
BF2025020256,R7,06-03-2025,357,192,17-03-2025,Ahmedabad,2
BF2025020256,R48,12-03-2025,26,21,04-04-2025,Ahmedabad,2
BF2025020259,R119,15-02-2025,28,23,27-02-2025,Bangalore,1
BF2025020259,R108,17-02-2025,3,2,02-03-2025,Bangalore,1
BF2025020259,R13,18-02-2025,14,10,10-03-2025,Bangalore,2
BF2025020259,R160,22-02-2025,10,5,19-03-2025,Bangalore,2
BF2025020259,R106,24-02-2025,7,5,15-03-2025,Bangalore,2
BF2025020259,R116,21-02-2025,35,22,09-03-2025,Bangalore,2
BF2025020259,R60,27-02-2025,24,16,22-03-2025,Bangalore,1
BF2025020259,R113,01-03-2025,52,33,22-03-2025,Bangalore,1
BF2025020259,R44,24-02-2025,38,28,17-03-2025,Bangalore,2
BF2025020268,R185,06-03-2025,175,96,25-03-2025,Kolkata,1
BF2025020268,R197,09-03-2025,195,157,21-03-2025,Kolkata,2
BF2025020268,R86,08-03-2025,709,498,21-03-2025,Kolkata,1
