Batch_ID,FD_Product_Category,FD_Dealer_Name,FD_Dispatch_Quantity,FD_Unit,FD_Factory_Dispatch_Date,FD_City,FD_Transit
BF2025010012,Chocolate,Dealer24,4338,packages,19-01-2025,Pune,17
BF2025010013,Flour,Dealer28,2009,packages,6/1/2025,Delhi,3
BF2025010013,Flour,Dealer16,5717,packages,9/1/2025,Bangalore,6
BF2025010013,Flour,Dealer12,5608,packages,10/1/2025,Chennai,7
BF2025010013,Flour,Dealer20,3657,packages,15-01-2025,Delhi,12
BF2025010014,Flour,Dealer17,7529,packages,18-01-2025,Mumbai,2
BF2025010014,Flour,Dealer26,260,packages,21-01-2025,Ahmedabad,5
BF2025010014,Flour,Dealer14,2781,packages,22-01-2025,Pune,6
BF2025010014,Flour,Dealer16,6891,packages,21-01-2025,Chennai,5
BF2025010015,Flour,Dealer19,1327,packages,22-01-2025,Hyderabad,4
BF2025010015,Flour,Dealer4,571,packages,24-01-2025,Bangalore,6
BF2025010015,Flour,Dealer11,1136,packages,26-01-2025,Delhi,8
BF2025010015,Flour,Dealer12,1478,packages,31-01-2025,Delhi,13
BF2025010015,Flour,Dealer20,882,packages,3/2/2025,Chennai,16
BF2025010015,Flour,Dealer9,1202,packages,27-01-2025,Bangalore,9
BF2025010015,Flour,Dealer6,507,packages,28-01-2025,Kolkata,10
BF2025010016,Flour,Dealer7,547,packages,25-01-2025,Pune,3
BF2025010016,Flour,Dealer5,1540,packages,27-01-2025,Mumbai,5
BF2025010016,Flour,Dealer26,3068,packages,31-01-2025,Delhi,9
BF2025010016,Flour,Dealer24,2618,packages,28-01-2025,Chennai,6
BF2025010016,Flour,Dealer29,1593,packages,2/2/2025,Ahmedabad,11
BF2025010016,Flour,Dealer16,2221,packages,9/2/2025,Mumbai,18
BF2025010016,Flour,Dealer1,2420,packages,6/2/2025,Hyderabad,15
BF2025010017,Flour,Dealer12,1583,packages,10/1/2025,Delhi,4
BF2025010017,Flour,Dealer30,1892,packages,12/1/2025,Hyderabad,6
BF2025010017,Flour,Dealer18,1613,packages,14-01-2025,Ahmedabad,8
BF2025010017,Flour,Dealer28,3123,packages,19-01-2025,Ahmedabad,13
BF2025010017,Flour,Dealer26,2783,packages,14-01-2025,Kolkata,8
BF2025010017,Flour,Dealer9,2651,packages,25-01-2025,Bangalore,19
BF2025010018,Flour,Dealer21,1893,packages,31-01-2025,Bangalore,3
BF2025010018,Flour,Dealer5,1710,packages,3/2/2025,Kolkata,6
BF2025010018,Flour,Dealer28,2540,packages,4/2/2025,Ahmedabad,7
BF2025010018,Flour,Dealer6,213,packages,6/2/2025,Ahmedabad,9
BF2025010018,Flour,Dealer30,484,packages,8/2/2025,Delhi,11
BF2025010018,Flour,Dealer11,682,packages,5/2/2025,Pune,8
BF2025010018,Flour,Dealer14,948,packages,6/2/2025,Chennai,9
BF2025010019,Flour,Dealer24,2431,packages,22-01-2025,Mumbai,4
BF2025010019,Flour,Dealer23,584,packages,24-01-2025,Delhi,6
BF2025010019,Flour,Dealer30,5729,packages,24-01-2025,Kolkata,6
BF2025010019,Flour,Dealer3,2893,packages,28-01-2025,Chennai,10
BF2025010019,Flour,Dealer7,329,packages,26-01-2025,Bangalore,8
BF2025010019,Flour,Dealer6,4714,packages,1/2/2025,Delhi,14
BF2025010020,Flour,Dealer17,3219,packages,14-01-2025,Ahmedabad,4
BF2025010020,Flour,Dealer27,4172,packages,15-01-2025,Delhi,5
BF2025010020,Flour,Dealer6,1577,packages,20-01-2025,Ahmedabad,10
BF2025010020,Flour,Dealer1,2309,packages,23-01-2025,Kolkata,13
BF2025010020,Flour,Dealer2,4727,packages,26-01-2025,Bangalore,16
BF2025010021,Chips,Dealer16,994,packages,17-01-2025,Bangalore,2
BF2025010021,Chips,Dealer18,1327,packages,19-01-2025,Pune,4
BF2025010021,Chips,Dealer8,501,packages,23-01-2025,Ahmedabad,8
BF2025010021,Chips,Dealer26,33,packages,23-01-2025,Bangalore,8
BF2025010021,Chips,Dealer3,1685,packages,21-01-2025,Kolkata,6
BF2025010021,Chips,Dealer15,2442,packages,27-01-2025,Chennai,12
BF2025010022,Chips,Dealer18,2338,packages,12/1/2025,Kolkata,4
BF2025010022,Chips,Dealer12,1157,packages,13-01-2025,Bangalore,5
BF2025010022,Chips,Dealer7,661,packages,14-01-2025,Kolkata,6
BF2025010022,Chips,Dealer14,1893,packages,21-01-2025,Chennai,13
BF2025010023,Chips,Dealer10,2021,packages,14-01-2025,Ahmedabad,3
BF2025010023,Chips,Dealer21,4174,packages,15-01-2025,Hyderabad,4
BF2025010023,Chips,Dealer24,892,packages,16-01-2025,Delhi,5
BF2025010023,Chips,Dealer18,1416,packages,17-01-2025,Pune,6
BF2025010023,Chips,Dealer26,3114,packages,18-01-2025,Mumbai,7
BF2025010023,Chips,Dealer9,3021,packages,24-01-2025,Bangalore,13
BF2025010024,Chips,Dealer23,866,packages,21-01-2025,Ahmedabad,3
BF2025010024,Chips,Dealer15,141,packages,24-01-2025,Pune,6
BF2025010024,Chips,Dealer24,2080,packages,25-01-2025,Mumbai,7
BF2025010024,Chips,Dealer1,4026,packages,24-01-2025,Pune,6
BF2025010024,Chips,Dealer8,7528,packages,29-01-2025,Kolkata,11
BF2025010025,Chips,Dealer18,3586,packages,12/1/2025,Kolkata,4
BF2025010025,Chips,Dealer16,1000,packages,14-01-2025,Chennai,6
BF2025010025,Chips,Dealer6,1527,packages,18-01-2025,Pune,10
BF2025010025,Chips,Dealer7,50,packages,15-01-2025,Ahmedabad,7
BF2025010026,Chips,Dealer17,1394,packages,27-01-2025,Mumbai,4
BF2025010026,Chips,Dealer22,3439,packages,29-01-2025,Ahmedabad,6
BF2025010026,Chips,Dealer7,3350,packages,2/2/2025,Bangalore,10
BF2025010026,Chips,Dealer16,567,packages,30-01-2025,Hyderabad,7
BF2025010027,Beverage,Dealer28,984,packages,6/1/2025,Kolkata,4
BF2025010027,Beverage,Dealer22,1807,packages,7/1/2025,Pune,5
BF2025010027,Beverage,Dealer7,62,packages,8/1/2025,Ahmedabad,6
BF2025010027,Beverage,Dealer4,3307,packages,15-01-2025,Delhi,13
BF2025010028,Beverage,Dealer25,2072,packages,19-01-2025,Mumbai,2
BF2025010028,Beverage,Dealer3,1021,packages,20-01-2025,Ahmedabad,3
BF2025010028,Beverage,Dealer8,2925,packages,21-01-2025,Hyderabad,4
BF2025010028,Beverage,Dealer6,2291,packages,28-01-2025,Hyderabad,11
BF2025010028,Beverage,Dealer16,181,packages,27-01-2025,Chennai,10
BF2025010028,Beverage,Dealer29,1072,packages,24-01-2025,Kolkata,7
BF2025010029,Beverage,Dealer24,1732,packages,26-01-2025,Bangalore,4
BF2025010029,Beverage,Dealer5,1164,packages,29-01-2025,Delhi,7
BF2025010029,Beverage,Dealer9,2754,packages,28-01-2025,Delhi,6
BF2025010029,Beverage,Dealer2,750,packages,1/2/2025,Bangalore,10
BF2025010029,Beverage,Dealer16,737,packages,3/2/2025,Hyderabad,12
BF2025010029,Beverage,Dealer23,1373,packages,5/2/2025,Pune,14
BF2025010030,Beverage,Dealer24,1132,packages,22-01-2025,Bangalore,4
BF2025010030,Beverage,Dealer6,3406,packages,24-01-2025,Kolkata,6
BF2025010030,Beverage,Dealer1,3110,packages,28-01-2025,Hyderabad,10
BF2025010030,Beverage,Dealer20,2546,packages,25-01-2025,Mumbai,7
BF2025010030,Beverage,Dealer12,1830,packages,3/2/2025,Mumbai,16
BF2025010030,Beverage,Dealer25,2476,packages,27-01-2025,Delhi,9
BF2025010030,Beverage,Dealer27,2351,packages,28-01-2025,Pune,10
BF2025010031,Oil,Dealer4,2109,packages,21-01-2025,Chennai,2
BF2025010031,Oil,Dealer16,1276,packages,24-01-2025,Mumbai,5
BF2025010031,Oil,Dealer7,1609,packages,23-01-2025,Chennai,4
BF2025010031,Oil,Dealer2,2049,packages,30-01-2025,Ahmedabad,11
BF2025010031,Oil,Dealer19,1938,packages,25-01-2025,Ahmedabad,6
BF2025010032,Oil,Dealer12,3274,packages,29-01-2025,Pune,3
BF2025010032,Oil,Dealer18,2903,packages,1/2/2025,Mumbai,6
BF2025010032,Oil,Dealer24,5573,packages,2/2/2025,Mumbai,7
BF2025010032,Oil,Dealer29,6480,packages,1/2/2025,Mumbai,6
BF2025010033,Oil,Dealer24,781,packages,16-01-2025,Kolkata,2
BF2025010033,Oil,Dealer8,2166,packages,19-01-2025,Mumbai,5
BF2025010033,Oil,Dealer18,1024,packages,22-01-2025,Hyderabad,8
BF2025010033,Oil,Dealer13,2574,packages,25-01-2025,Ahmedabad,11
BF2025010034,Oil,Dealer29,1167,packages,7/1/2025,Kolkata,3
BF2025010034,Oil,Dealer4,1517,packages,10/1/2025,Kolkata,6
BF2025010034,Oil,Dealer6,1231,packages,13-01-2025,Hyderabad,9
BF2025010034,Oil,Dealer26,1384,packages,16-01-2025,Chennai,12
BF2025010034,Oil,Dealer28,2154,packages,19-01-2025,Chennai,15
BF2025010034,Oil,Dealer18,2082,packages,17-01-2025,Bangalore,13
BF2025010034,Oil,Dealer13,1269,packages,19-01-2025,Ahmedabad,15
BF2025010035,Oil,Dealer13,2042,packages,18-01-2025,Delhi,4
BF2025010035,Oil,Dealer1,3912,packages,19-01-2025,Pune,5
BF2025010035,Oil,Dealer24,1188,packages,22-01-2025,Hyderabad,8
BF2025010035,Oil,Dealer2,1182,packages,21-01-2025,Delhi,7
BF2025010035,Oil,Dealer10,873,packages,26-01-2025,Hyderabad,12
BF2025010035,Oil,Dealer20,3369,packages,2/2/2025,Chennai,19
BF2025010035,Oil,Dealer29,85,packages,24-01-2025,Bangalore,10
BF2025010036,Oil,Dealer3,419,packages,30-01-2025,Bangalore,2
BF2025010036,Oil,Dealer19,1749,packages,31-01-2025,Kolkata,3
BF2025010036,Oil,Dealer13,2600,packages,1/2/2025,Pune,4
BF2025010036,Oil,Dealer29,2631,packages,5/2/2025,Hyderabad,8
BF2025010036,Oil,Dealer7,4845,packages,7/2/2025,Kolkata,10
BF2025010036,Oil,Dealer24,3788,packages,4/2/2025,Chennai,7
BF2025010037,Oil,Dealer21,1766,packages,25-01-2025,Chennai,4
BF2025010037,Oil,Dealer25,238,packages,26-01-2025,Pune,5
BF2025010037,Oil,Dealer13,3124,packages,31-01-2025,Kolkata,10
BF2025010037,Oil,Dealer2,865,packages,31-01-2025,Mumbai,10
BF2025010038,Oil,Dealer14,1941,packages,15-01-2025,Kolkata,2
BF2025010038,Oil,Dealer10,1211,packages,18-01-2025,Delhi,5
BF2025010038,Oil,Dealer26,8384,packages,17-01-2025,Ahmedabad,4
BF2025010038,Oil,Dealer13,723,packages,24-01-2025,Chennai,11
BF2025010038,Oil,Dealer5,5857,packages,23-01-2025,Kolkata,10
BF2025010039,Soap,Dealer18,897,packages,10/1/2025,Kolkata,2
BF2025010039,Soap,Dealer20,982,packages,12/1/2025,Hyderabad,4
BF2025010039,Soap,Dealer24,1586,packages,14-01-2025,Chennai,6
BF2025010039,Soap,Dealer17,2526,packages,16-01-2025,Hyderabad,8
BF2025010039,Soap,Dealer8,2125,packages,22-01-2025,Pune,14
BF2025010040,Soap,Dealer6,1487,packages,22-01-2025,Mumbai,4
BF2025010040,Soap,Dealer12,1049,packages,25-01-2025,Pune,7
BF2025010040,Soap,Dealer20,2201,packages,24-01-2025,Delhi,6
BF2025010040,Soap,Dealer27,556,packages,28-01-2025,Pune,10
BF2025010040,Soap,Dealer26,1632,packages,30-01-2025,Mumbai,12
BF2025010040,Soap,Dealer15,371,packages,1/2/2025,Ahmedabad,14
BF2025010041,Soap,Dealer1,1086,packages,17-01-2025,Pune,3
BF2025010041,Soap,Dealer11,1487,packages,19-01-2025,Delhi,5
BF2025010041,Soap,Dealer7,1087,packages,19-01-2025,Bangalore,5
BF2025010041,Soap,Dealer24,1235,packages,20-01-2025,Bangalore,6
BF2025010041,Soap,Dealer18,1967,packages,21-01-2025,Ahmedabad,7
BF2025010041,Soap,Dealer28,1377,packages,1/2/2025,Pune,18
BF2025010041,Soap,Dealer25,1324,packages,23-01-2025,Kolkata,9
BF2025010042,Soap,Dealer22,1506,packages,18-01-2025,Mumbai,3
BF2025010042,Soap,Dealer28,4540,packages,19-01-2025,Chennai,4
BF2025010042,Soap,Dealer30,1986,packages,24-01-2025,Ahmedabad,9
BF2025010042,Soap,Dealer12,5035,packages,27-01-2025,Pune,12
BF2025010042,Soap,Dealer4,2613,packages,22-01-2025,Chennai,7
BF2025010042,Soap,Dealer1,3647,packages,2/2/2025,Bangalore,18
BF2025010043,Beverage,Dealer16,1113,packages,17-01-2025,Bangalore,2
BF2025010043,Beverage,Dealer13,576,packages,19-01-2025,Pune,4
BF2025010043,Beverage,Dealer24,490,packages,23-01-2025,Bangalore,8
BF2025010043,Beverage,Dealer6,1615,packages,20-01-2025,Delhi,5
BF2025010043,Beverage,Dealer1,1587,packages,25-01-2025,Kolkata,10
BF2025010043,Beverage,Dealer12,447,packages,1/2/2025,Delhi,17
BF2025010044,Beverage,Dealer24,2346,packages,23-01-2025,Bangalore,2
BF2025010044,Beverage,Dealer13,2393,packages,26-01-2025,Hyderabad,5
BF2025010044,Beverage,Dealer17,870,packages,27-01-2025,Delhi,6
BF2025010044,Beverage,Dealer22,919,packages,26-01-2025,Delhi,5
BF2025010045,Beverage,Dealer28,1460,packages,29-01-2025,Hyderabad,4
BF2025010045,Beverage,Dealer5,376,packages,30-01-2025,Mumbai,5
BF2025010045,Beverage,Dealer10,2770,packages,31-01-2025,Hyderabad,6
BF2025010045,Beverage,Dealer23,2715,packages,1/2/2025,Pune,7
BF2025010045,Beverage,Dealer29,403,packages,6/2/2025,Kolkata,12
BF2025010046,Beverage,Dealer10,728,packages,18-01-2025,Chennai,4
BF2025010046,Beverage,Dealer15,894,packages,19-01-2025,Pune,5
BF2025010046,Beverage,Dealer24,626,packages,22-01-2025,Mumbai,8
BF2025010046,Beverage,Dealer27,124,packages,27-01-2025,Ahmedabad,13
BF2025010046,Beverage,Dealer21,4694,packages,22-01-2025,Ahmedabad,8
BF2025010046,Beverage,Dealer28,2937,packages,2/2/2025,Hyderabad,19
BF2025010046,Beverage,Dealer9,2883,packages,24-01-2025,Kolkata,10
BF2025010047,Shampoo,Dealer16,3832,packages,30-01-2025,Ahmedabad,2
BF2025010047,Shampoo,Dealer5,75,packages,2/2/2025,Ahmedabad,5
BF2025010047,Shampoo,Dealer6,1351,packages,5/2/2025,Hyderabad,8
BF2025010047,Shampoo,Dealer7,2068,packages,5/2/2025,Chennai,8
BF2025010047,Shampoo,Dealer8,3717,packages,7/2/2025,Kolkata,10
BF2025010047,Shampoo,Dealer2,4948,packages,4/2/2025,Kolkata,7
BF2025010047,Shampoo,Dealer14,3794,packages,17-02-2025,Hyderabad,20
BF2025010048,Shampoo,Dealer20,2185,packages,6/1/2025,Kolkata,4
BF2025010048,Shampoo,Dealer24,1960,packages,9/1/2025,Pune,7
BF2025010048,Shampoo,Dealer19,1296,packages,12/1/2025,Kolkata,10
BF2025010048,Shampoo,Dealer30,1124,packages,15-01-2025,Pune,13
BF2025010048,Shampoo,Dealer18,2059,packages,10/1/2025,Bangalore,8
BF2025010048,Shampoo,Dealer17,105,packages,16-01-2025,Kolkata,14
BF2025010048,Shampoo,Dealer21,2480,packages,18-01-2025,Bangalore,16
BF2025010049,Shampoo,Dealer6,2510,packages,5/1/2025,Delhi,4
BF2025010049,Shampoo,Dealer14,1285,packages,7/1/2025,Kolkata,6
BF2025010049,Shampoo,Dealer10,1791,packages,9/1/2025,Ahmedabad,8
BF2025010049,Shampoo,Dealer20,250,packages,8/1/2025,Delhi,7
BF2025010049,Shampoo,Dealer2,1388,packages,13-01-2025,Chennai,12
BF2025010049,Shampoo,Dealer23,498,packages,15-01-2025,Mumbai,14
BF2025010049,Shampoo,Dealer17,1623,packages,17-01-2025,Hyderabad,16
BF2025010050,Shampoo,Dealer23,1963,packages,30-01-2025,Kolkata,4
BF2025010050,Shampoo,Dealer24,263,packages,2/2/2025,Kolkata,7
BF2025010050,Shampoo,Dealer4,2186,packages,1/2/2025,Delhi,6
BF2025010050,Shampoo,Dealer3,2247,packages,5/2/2025,Delhi,10
BF2025010050,Shampoo,Dealer15,3014,packages,3/2/2025,Delhi,8
BF2025010051,Shampoo,Dealer25,1030,packages,16-01-2025,Pune,2
BF2025010051,Shampoo,Dealer23,2553,packages,19-01-2025,Bangalore,5
BF2025010051,Shampoo,Dealer2,1482,packages,18-01-2025,Ahmedabad,4
BF2025010051,Shampoo,Dealer14,2081,packages,22-01-2025,Ahmedabad,8
BF2025010051,Shampoo,Dealer10,390,packages,28-01-2025,Pune,14
BF2025010052,Chocolate,Dealer8,723,packages,12/1/2025,Delhi,2
BF2025010052,Chocolate,Dealer7,979,packages,13-01-2025,Pune,3
BF2025010052,Chocolate,Dealer19,10,packages,18-01-2025,Hyderabad,8
BF2025010052,Chocolate,Dealer22,1436,packages,15-01-2025,Delhi,5
BF2025010052,Chocolate,Dealer16,452,packages,16-01-2025,Bangalore,6
BF2025010052,Chocolate,Dealer15,1023,packages,22-01-2025,Mumbai,12
BF2025010052,Chocolate,Dealer14,1335,packages,18-01-2025,Mumbai,8
BF2025010053,Chocolate,Dealer6,3063,packages,22-01-2025,Hyderabad,3
BF2025010053,Chocolate,Dealer30,2502,packages,24-01-2025,Mumbai,5
BF2025010053,Chocolate,Dealer22,2458,packages,26-01-2025,Mumbai,7
BF2025010053,Chocolate,Dealer10,4225,packages,28-01-2025,Ahmedabad,9
BF2025010053,Chocolate,Dealer20,3276,packages,26-01-2025,Mumbai,7
BF2025010053,Chocolate,Dealer28,1574,packages,6/2/2025,Bangalore,18
BF2025010053,Chocolate,Dealer23,156,packages,3/2/2025,Kolkata,15
BF2025010054,Chocolate,Dealer23,1153,packages,15-01-2025,Bangalore,4
BF2025010054,Chocolate,Dealer7,1971,packages,17-01-2025,Hyderabad,6
BF2025010054,Chocolate,Dealer20,1064,packages,19-01-2025,Hyderabad,8
BF2025010054,Chocolate,Dealer2,176,packages,18-01-2025,Ahmedabad,7
BF2025010054,Chocolate,Dealer4,1457,packages,27-01-2025,Ahmedabad,16
BF2025010055,Chocolate,Dealer26,10,packages,22-01-2025,Hyderabad,3
BF2025010055,Chocolate,Dealer6,92,packages,24-01-2025,Chennai,5
BF2025010055,Chocolate,Dealer20,2424,packages,24-01-2025,Chennai,5
BF2025010055,Chocolate,Dealer8,457,packages,31-01-2025,Bangalore,12
BF2025010055,Chocolate,Dealer23,3286,packages,30-01-2025,Mumbai,11
BF2025010055,Chocolate,Dealer10,3098,packages,1/2/2025,Bangalore,13
BF2025010055,Chocolate,Dealer7,3871,packages,9/2/2025,Hyderabad,21
BF2025010056,Chocolate,Dealer4,2782,packages,31-01-2025,Ahmedabad,3
BF2025010056,Chocolate,Dealer22,2364,packages,2/2/2025,Pune,5
BF2025010056,Chocolate,Dealer11,111,packages,6/2/2025,Delhi,9
BF2025010056,Chocolate,Dealer13,674,packages,6/2/2025,Delhi,9
BF2025010057,Chips,Dealer29,119,packages,6/1/2025,Mumbai,3
BF2025010057,Chips,Dealer28,1073,packages,7/1/2025,Bangalore,4
BF2025010057,Chips,Dealer18,1163,packages,8/1/2025,Hyderabad,5
BF2025010057,Chips,Dealer11,1397,packages,12/1/2025,Delhi,9
BF2025010057,Chips,Dealer15,1143,packages,18-01-2025,Kolkata,15
BF2025010057,Chips,Dealer14,38,packages,11/1/2025,Mumbai,8
BF2025010057,Chips,Dealer24,1189,packages,18-01-2025,Hyderabad,15
BF2025010058,Chips,Dealer9,5919,packages,24-01-2025,Delhi,4
BF2025010058,Chips,Dealer14,2506,packages,25-01-2025,Hyderabad,5
BF2025010058,Chips,Dealer3,5596,packages,26-01-2025,Chennai,6
BF2025010058,Chips,Dealer16,2041,packages,27-01-2025,Ahmedabad,7
BF2025010059,Chips,Dealer26,969,packages,31-01-2025,Delhi,3
BF2025010059,Chips,Dealer16,2133,packages,1/2/2025,Delhi,4
BF2025010059,Chips,Dealer29,3032,packages,2/2/2025,Pune,5
BF2025010059,Chips,Dealer17,5481,packages,6/2/2025,Kolkata,9
BF2025010060,Chips,Dealer1,5424,packages,6/1/2025,Bangalore,2
BF2025010060,Chips,Dealer10,4690,packages,7/1/2025,Bangalore,3
BF2025010060,Chips,Dealer30,687,packages,12/1/2025,Chennai,8
BF2025010060,Chips,Dealer2,3684,packages,12/1/2025,Chennai,8
BF2025010061,Chips,Dealer10,6704,packages,24-01-2025,Mumbai,4
BF2025010061,Chips,Dealer9,1787,packages,25-01-2025,Hyderabad,5
BF2025010061,Chips,Dealer18,2268,packages,30-01-2025,Hyderabad,10
BF2025010061,Chips,Dealer11,4157,packages,30-01-2025,Delhi,10
BF2025010061,Chips,Dealer25,231,packages,5/2/2025,Bangalore,16
BF2025010062,Chips,Dealer6,2597,packages,5/1/2025,Pune,2
BF2025010062,Chips,Dealer3,3398,packages,6/1/2025,Kolkata,3
BF2025010062,Chips,Dealer10,996,packages,9/1/2025,Delhi,6
BF2025010062,Chips,Dealer20,3605,packages,14-01-2025,Ahmedabad,11
BF2025010062,Chips,Dealer29,5174,packages,17-01-2025,Hyderabad,14
BF2025010063,Chips,Dealer11,2321,packages,23-01-2025,Mumbai,4
BF2025010063,Chips,Dealer27,225,packages,25-01-2025,Bangalore,6
BF2025010063,Chips,Dealer7,2644,packages,29-01-2025,Ahmedabad,10
BF2025010063,Chips,Dealer23,2190,packages,29-01-2025,Chennai,10
BF2025010063,Chips,Dealer25,1626,packages,27-01-2025,Delhi,8
BF2025010063,Chips,Dealer22,266,packages,7/2/2025,Bangalore,19
BF2025010064,Chips,Dealer13,2082,packages,10/1/2025,Delhi,3
BF2025010064,Chips,Dealer6,138,packages,13-01-2025,Mumbai,6
BF2025010064,Chips,Dealer23,2180,packages,14-01-2025,Mumbai,7
BF2025010064,Chips,Dealer22,1612,packages,16-01-2025,Mumbai,9
BF2025010064,Chips,Dealer11,2115,packages,18-01-2025,Ahmedabad,11
BF2025010064,Chips,Dealer26,783,packages,20-01-2025,Kolkata,13
BF2025010065,Toothpaste,Dealer20,2111,packages,16-01-2025,Hyderabad,3
BF2025010065,Toothpaste,Dealer8,1871,packages,19-01-2025,Chennai,6
BF2025010065,Toothpaste,Dealer18,4470,packages,18-01-2025,Mumbai,5
BF2025010065,Toothpaste,Dealer6,3245,packages,25-01-2025,Ahmedabad,12
BF2025010065,Toothpaste,Dealer16,4307,packages,20-01-2025,Ahmedabad,7
