Batch_ID,FM_Product_Name,FM_Product_Category,FM_Manufacturing_Date,FM_Factory_Location,FM_Manufacturing_Quantity,FM_Unit
BF2025010027,Mirinda,Beverage,02-01-2025,Pune,6160,packages
BF2025010028,Fanta,Beverage,17-01-2025,Pune,9562,packages
BF2025010029,Limca,Beverage,22-01-2025,Pune,8510,packages
BF2025010030,Sprite,Beverage,18-01-2025,Pune,16851,packages
BF2025010031,Palm Oil,Oil,19-01-2025,Pune,8981,packages
BF2025010032,Palm Oil,Oil,26-01-2025,Pune,18230,packages
BF2025010033,Coconut Oil,Oil,14-01-2025,Pune,6545,packages
BF2025010034,Rice Bran Oil,Oil,04-01-2025,Pune,10804,packages
BF2025010035,Rice Bran Oil,Oil,14-01-2025,Pune,12651,packages
BF2025010036,Sunflower Oil,Oil,28-01-2025,Pune,16032,packages
BF2025010037,Olive Oil,Oil,21-01-2025,Pune,5993,packages
BF2025010038,Soybean Oil,Oil,13-01-2025,Pune,18116,packages
BF2025010039,Pears,Soap,08-01-2025,Mumbai,8116,packages
BF2025010040,Godrej,Soap,18-01-2025,Mumbai,7296,packages
BF2025010041,Lifebuoy,Soap,14-01-2025,Mumbai,9563,packages
BF2025010042,Pears,Soap,15-01-2025,Mumbai,19327,packages
BF2025010043,Pepsi,Beverage,15-01-2025,Mumbai,5828,packages
BF2025010044,Coca Cola,Beverage,21-01-2025,Mumbai,6528,packages
BF2025010045,Fanta,Beverage,25-01-2025,Mumbai,7724,packages
BF2025010046,Limca,Beverage,14-01-2025,Mumbai,12886,packages
BF2025010047,Tresemme,Shampoo,28-01-2025,Mumbai,19785,packages
BF2025010048,Head & Shoulders,Shampoo,02-01-2025,Mumbai,11209,packages
BF2025010049,Tresemme,Shampoo,01-01-2025,Mumbai,9345,packages
BF2025010050,Garnier,Shampoo,26-01-2025,Mumbai,9673,packages
BF2025010051,Garnier,Shampoo,14-01-2025,Mumbai,7536,packages
BF2025010052,Munch,Chocolate,10-01-2025,Delhi,5958,packages
BF2025010053,Dairy Milk,Chocolate,19-01-2025,Delhi,17254,packages
BF2025010054,Dairy Milk,Chocolate,11-01-2025,Delhi,5821,packages
BF2025010055,Mars,Chocolate,19-01-2025,Delhi,13238,packages
BF2025010056,Perk,Chocolate,28-01-2025,Delhi,5931,packages
BF2025010057,Bingo,Chips,03-01-2025,Delhi,6122,packages
BF2025010058,Kurkure,Chips,20-01-2025,Delhi,16062,packages
BF2025010059,Pringles,Chips,28-01-2025,Delhi,11615,packages
BF2025010060,Pringles,Chips,04-01-2025,Delhi,14485,packages
BF2025010061,Lays,Chips,20-01-2025,Delhi,15147,packages
BF2025010062,Cheetos,Chips,03-01-2025,Delhi,15770,packages
BF2025010063,Haldirams,Chips,19-01-2025,Delhi,9272,packages
BF2025010064,Haldirams,Chips,07-01-2025,Delhi,8910,packages
BF2025010065,Close Up,Toothpaste,13-01-2025,Delhi,16004,packages
BF2025010066,Dabur Red,Toothpaste,21-01-2025,Delhi,12491,packages
BF2025010067,Pepsodent,Toothpaste,11-01-2025,Delhi,5152,packages
BF2025010068,Pepsodent,Toothpaste,15-01-2025,Delhi,6200,packages
BF2025010069,Sensodyne,Toothpaste,18-01-2025,Delhi,13288,packages
BF2025010070,Close Up,Toothpaste,09-01-2025,Delhi,10718,packages
BF2025010071,Hamam,Soap,08-01-2025,Chennai,9669,packages
BF2025010072,Godrej,Soap,06-01-2025,Chennai,18660,packages
BF2025010073,Santoor,Soap,18-01-2025,Chennai,15021,packages
BF2025010074,Lux,Soap,26-01-2025,Chennai,15942,packages
BF2025010075,Monaco,Biscuit,10-01-2025,Chennai,19387,packages
BF2025010076,Marie Gold,Biscuit,05-01-2025,Chennai,6891,packages
BF2025010077,Hide & Seek,Biscuit,04-01-2025,Chennai,9462,packages
BF2025010078,Good Day,Biscuit,10-01-2025,Chennai,16757,packages
BF2025010079,Good Day,Biscuit,11-01-2025,Chennai,16263,packages
BF2025010080,Marie Gold,Biscuit,21-01-2025,Chennai,13280,packages
BF2025010081,Marie Gold,Biscuit,16-01-2025,Chennai,19833,packages
BF2025010082,Parle-G,Biscuit,28-01-2025,Chennai,6512,packages
BF2025010083,Ponni Rice,Rice,27-01-2025,Chennai,5722,packages
BF2025010084,Matt Rice,Rice,01-01-2025,Chennai,17634,packages
BF2025010085,Ponni Rice,Rice,05-01-2025,Chennai,7647,packages
BF2025010086,Black Rice,Rice,24-01-2025,Chennai,14038,packages
BF2025010087,Red Rice,Rice,23-01-2025,Chennai,14189,packages
BF2025010088,Sona Masoori,Rice,01-01-2025,Chennai,6232,packages
BF2025010089,Brown Rice,Rice,23-01-2025,Chennai,13938,packages
BF2025010090,Sunsilk,Shampoo,27-01-2025,Bangalore,14543,packages
BF2025010091,Head & Shoulders,Shampoo,18-01-2025,Bangalore,12041,packages
BF2025010092,Clinic Plus,Shampoo,05-01-2025,Bangalore,10050,packages
BF2025010093,Clinic Plus,Shampoo,12-01-2025,Bangalore,19727,packages
BF2025010094,Sensodyne,Toothpaste,07-01-2025,Bangalore,15927,packages
BF2025010095,Meswak,Toothpaste,04-01-2025,Bangalore,17781,packages
BF2025010096,Anchor,Toothpaste,18-01-2025,Bangalore,15168,packages
BF2025010097,Close Up,Toothpaste,24-01-2025,Bangalore,8878,packages
BF2025010098,Close Up,Toothpaste,28-01-2025,Bangalore,18105,packages
BF2025010099,Close Up,Toothpaste,26-01-2025,Bangalore,19441,packages
BF2025010100,Mustard Oil,Oil,01-01-2025,Bangalore,17067,packages
BF2025010101,Rice Bran Oil,Oil,11-01-2025,Bangalore,18143,packages
BF2025010102,Coconut Oil,Oil,22-01-2025,Bangalore,9371,packages
BF2025010103,Olive Oil,Oil,06-01-2025,Bangalore,11267,packages
BF2025010104,Sunflower Oil,Oil,28-01-2025,Bangalore,19067,packages
BF2025010105,Coconut Oil,Oil,16-01-2025,Bangalore,8269,packages
BF2025010106,Palm Oil,Oil,27-01-2025,Bangalore,10728,packages
BF2025010107,Jasmine Rice,Rice,27-01-2025,Hyderabad,8652,packages
BF2025010108,Jasmine Rice,Rice,01-01-2025,Hyderabad,11528,packages
BF2025010109,Ponni Rice,Rice,11-01-2025,Hyderabad,19161,packages
BF2025010110,Ponni Rice,Rice,03-01-2025,Hyderabad,10753,packages
BF2025010111,Red Rice,Rice,21-01-2025,Hyderabad,16133,packages
BF2025010112,Matt Rice,Rice,27-01-2025,Hyderabad,5452,packages
BF2025010113,Besan,Flour,09-01-2025,Hyderabad,14512,packages
BF2025010114,Wheat Flour,Flour,09-01-2025,Hyderabad,6776,packages
BF2025010115,Jowar Flour,Flour,20-01-2025,Hyderabad,10663,packages
BF2025010116,Bajra Flour,Flour,24-01-2025,Hyderabad,12149,packages
BF2025010117,Monaco,Biscuit,17-01-2025,Hyderabad,11311,packages
BF2025010118,Good Day,Biscuit,19-01-2025,Hyderabad,9173,packages
BF2025010119,Crack Jack,Biscuit,02-01-2025,Hyderabad,5027,packages
BF2025010120,Good Day,Biscuit,17-01-2025,Hyderabad,10967,packages
BF2025010121,Monaco,Biscuit,14-01-2025,Hyderabad,15882,packages
BF2025010122,Bourbon,Biscuit,11-01-2025,Hyderabad,15868,packages
BF2025010123,Monaco,Biscuit,28-01-2025,Hyderabad,16792,packages
BF2025010124,Marie Gold,Biscuit,10-01-2025,Hyderabad,15926,packages
BF2025010125,Anchor,Toothpaste,11-01-2025,Kolkata,16423,packages
BF2025010126,Close Up,Toothpaste,10-01-2025,Kolkata,8143,packages
BF2025010127,Anchor,Toothpaste,14-01-2025,Kolkata,16097,packages
BF2025010128,Close Up,Toothpaste,24-01-2025,Kolkata,15084,packages
BF2025010129,Dabur Red,Toothpaste,19-01-2025,Kolkata,11653,packages
BF2025010130,Colgate,Toothpaste,18-01-2025,Kolkata,9978,packages
BF2025010131,Sensodyne,Toothpaste,10-01-2025,Kolkata,12043,packages
BF2025010132,Hamam,Soap,20-01-2025,Kolkata,12618,packages
BF2025010133,Godrej,Soap,15-01-2025,Kolkata,16069,packages
BF2025010134,Godrej,Soap,07-01-2025,Kolkata,18004,packages
BF2025010135,Lifebuoy,Soap,26-01-2025,Kolkata,15794,packages
BF2025010136,Santoor,Soap,03-01-2025,Kolkata,13445,packages
BF2025010137,Hamam,Soap,22-01-2025,Kolkata,6530,packages
BF2025010138,Pears,Soap,27-01-2025,Kolkata,16023,packages
BF2025010139,Pears,Soap,10-01-2025,Kolkata,18214,packages
BF2025010140,Sunflower Oil,Oil,05-01-2025,Kolkata,5757,packages
BF2025010141,Palm Oil,Oil,08-01-2025,Kolkata,15015,packages
BF2025010142,Olive Oil,Oil,28-01-2025,Kolkata,12461,packages
BF2025010143,Coconut Oil,Oil,14-01-2025,Kolkata,16769,packages
BF2025010144,Rice Bran Oil,Oil,23-01-2025,Kolkata,13099,packages
BF2025020145,Hide & Seek,Biscuit,08-02-2025,Kolhapur,15748,packages
BF2025020146,Parle-G,Biscuit,23-02-2025,Kolhapur,19625,packages
BF2025020147,Monaco,Biscuit,25-02-2025,Kolhapur,17753,packages
BF2025020148,Good Day,Biscuit,14-02-2025,Kolhapur,7881,packages
BF2025020149,Krackjack,Biscuit,26-02-2025,Kolhapur,5822,packages
BF2025020150,Good Day,Biscuit,18-02-2025,Kolhapur,18899,packages
BF2025020151,Krackjack,Biscuit,04-02-2025,Kolhapur,7184,packages
BF2025020152,Snickers,Chocolate,22-02-2025,Kolhapur,17374,packages
BF2025020153,Twix,Chocolate,15-02-2025,Kolhapur,18608,packages
BF2025020154,Mars,Chocolate,18-02-2025,Kolhapur,19699,packages
BF2025020155,Mars,Chocolate,06-02-2025,Kolhapur,12373,packages
BF2025020156,Munch,Chocolate,09-02-2025,Kolhapur,18760,packages
BF2025020157,Kit Kat,Chocolate,21-02-2025,Kolhapur,17547,packages
BF2025020158,Mars,Chocolate,25-02-2025,Kolhapur,15268,packages
BF2025020159,Multigrain Flour,Flour,09-02-2025,Kolhapur,6269,packages
BF2025020160,Ragi Flour,Flour,23-02-2025,Kolhapur,8841,packages
BF2025020161,Bajra Flour,Flour,09-02-2025,Kolhapur,10238,packages
BF2025020162,Rice Flour,Flour,18-02-2025,Kolhapur,7267,packages
BF2025020163,Maida,Flour,05-02-2025,Kolhapur,11275,packages
BF2025020164,Pringles,Chips,23-02-2025,Pune,6052,packages
BF2025020165,Cheetos,Chips,14-02-2025,Pune,10421,packages
BF2025020166,Uncle Chips,Chips,18-02-2025,Pune,11812,packages
BF2025020167,Pringles,Chips,02-02-2025,Pune,18646,packages
BF2025020168,Cheetos,Chips,14-02-2025,Pune,19824,packages
BF2025020169,Coca Cola,Beverage,23-02-2025,Pune,19036,packages
BF2025020170,Mountain Dew,Beverage,25-02-2025,Pune,12814,packages
BF2025020171,Mirinda,Beverage,01-02-2025,Pune,9892,packages
BF2025020172,Mountain Dew,Beverage,25-02-2025,Pune,18982,packages
BF2025020173,Mountain Dew,Beverage,27-02-2025,Pune,13818,packages
BF2025020174,Fanta,Beverage,24-02-2025,Pune,12999,packages
BF2025020175,Thums Up,Beverage,08-02-2025,Pune,12140,packages
BF2025020176,Coca Cola,Beverage,16-02-2025,Pune,11371,packages
BF2025020177,Rice Bran Oil,Oil,22-02-2025,Pune,16864,packages
BF2025020178,Palm Oil,Oil,06-02-2025,Pune,7091,packages
BF2025020179,Sunflower Oil,Oil,20-02-2025,Pune,19859,packages
BF2025020180,Sunflower Oil,Oil,13-02-2025,Pune,6375,packages
BF2025020181,Rice Bran Oil,Oil,21-02-2025,Pune,7223,packages
BF2025020182,Palm Oil,Oil,28-02-2025,Pune,7977,packages
BF2025020183,Medimix,Soap,09-02-2025,Mumbai,10363,packages
BF2025020184,Godrej,Soap,07-02-2025,Mumbai,10355,packages
BF2025020185,Medimix,Soap,11-02-2025,Mumbai,9558,packages
BF2025020186,Medimix,Soap,25-02-2025,Mumbai,9133,packages
BF2025020187,Coca Cola,Beverage,16-02-2025,Mumbai,17272,packages
BF2025020188,Coca Cola,Beverage,18-02-2025,Mumbai,10733,packages
BF2025020189,Pepsi,Beverage,08-02-2025,Mumbai,17799,packages
BF2025020190,Coca Cola,Beverage,21-02-2025,Mumbai,17357,packages
BF2025020191,Pantene,Shampoo,08-02-2025,Mumbai,18749,packages
BF2025020192,Head & Shoulders,Shampoo,01-02-2025,Mumbai,8908,packages
BF2025020193,Garnier,Shampoo,05-02-2025,Mumbai,15968,packages
BF2025020194,Pantene,Shampoo,04-02-2025,Mumbai,12619,packages
BF2025020195,Snickers,Chocolate,25-02-2025,Delhi,7749,packages
BF2025020196,5 Star,Chocolate,20-02-2025,Delhi,17743,packages
BF2025020197,Perk,Chocolate,27-02-2025,Delhi,10096,packages
BF2025020198,Dairy Milk,Chocolate,04-02-2025,Delhi,10111,packages
BF2025020199,Twix,Chocolate,19-02-2025,Delhi,11498,packages
BF2025020200,Munch,Chocolate,23-02-2025,Delhi,6245,packages
BF2025020201,Pringles,Chips,23-02-2025,Delhi,6669,packages
BF2025020202,Balaji,Chips,23-02-2025,Delhi,18931,packages
BF2025020203,Kurkure,Chips,22-02-2025,Delhi,18045,packages
BF2025020204,Lays,Chips,19-02-2025,Delhi,10688,packages
BF2025020205,Cheetos,Chips,18-02-2025,Delhi,15838,packages
BF2025020206,Kurkure,Chips,12-02-2025,Delhi,13289,packages
BF2025020207,Haldirams,Chips,21-02-2025,Delhi,5207,packages
BF2025020208,Cheetos,Chips,28-02-2025,Delhi,18473,packages
BF2025020209,Anchor,Toothpaste,04-02-2025,Delhi,10934,packages
BF2025020210,Promise,Toothpaste,21-02-2025,Delhi,16588,packages
BF2025020211,Anchor,Toothpaste,05-02-2025,Delhi,7885,packages
BF2025020212,Dabur Red,Toothpaste,24-02-2025,Delhi,15091,packages
BF2025020213,Promise,Toothpaste,26-02-2025,Delhi,12616,packages
BF2025020214,Dabur Red,Toothpaste,14-02-2025,Delhi,10280,packages
BF2025020215,Sensodyne,Toothpaste,28-02-2025,Delhi,18610,packages
BF2025020216,Godrej,Soap,09-02-2025,Chennai,8995,packages
BF2025020217,Godrej,Soap,25-02-2025,Chennai,14336,packages
BF2025020218,Medimix,Soap,20-02-2025,Chennai,10511,packages
BF2025020219,Godrej,Soap,01-02-2025,Chennai,18942,packages
BF2025020220,Krackjack,Biscuit,06-02-2025,Chennai,8475,packages
BF2025020221,Marie Gold,Biscuit,12-02-2025,Chennai,10576,packages
BF2025020222,Marie Gold,Biscuit,09-02-2025,Chennai,14106,packages
BF2025020223,Good Day,Biscuit,01-02-2025,Chennai,6402,packages
BF2025020224,Crack Jack,Biscuit,08-02-2025,Chennai,13004,packages
BF2025020225,Good Day,Biscuit,18-02-2025,Chennai,16314,packages
BF2025020226,Black Rice,Rice,21-02-2025,Chennai,12342,packages
BF2025020227,Basmati,Rice,26-02-2025,Chennai,6524,packages
BF2025020228,Jasmine Rice,Rice,10-02-2025,Chennai,11625,packages
BF2025020229,Jasmine Rice,Rice,23-02-2025,Chennai,10016,packages
BF2025020230,Matt Rice,Rice,22-02-2025,Chennai,12753,packages
BF2025020231,Matt Rice,Rice,18-02-2025,Chennai,11971,packages
BF2025020232,Matt Rice,Rice,24-02-2025,Chennai,10764,packages
BF2025020233,Loreal,Shampoo,09-02-2025,Bangalore,9118,packages
BF2025020234,Dove,Shampoo,08-02-2025,Bangalore,16817,packages
BF2025020235,Sunsilk,Shampoo,07-02-2025,Bangalore,6958,packages
BF2025020236,Head & Shoulders,Shampoo,24-02-2025,Bangalore,8138,packages
BF2025020237,Garnier,Shampoo,07-02-2025,Bangalore,9530,packages
BF2025020238,Loreal,Shampoo,24-02-2025,Bangalore,6647,packages
BF2025020239,Pantene,Shampoo,27-02-2025,Bangalore,9853,packages
BF2025020240,Close Up,Toothpaste,12-02-2025,Bangalore,9952,packages
BF2025020241,Close Up,Toothpaste,01-02-2025,Bangalore,9494,packages
BF2025020242,Colgate,Toothpaste,02-02-2025,Bangalore,14066,packages
BF2025020243,Close Up,Toothpaste,10-02-2025,Bangalore,15450,packages
BF2025020244,Promise,Toothpaste,28-02-2025,Bangalore,6680,packages
BF2025020245,Groundnut Oil,Oil,19-02-2025,Bangalore,12690,packages
BF2025020246,Palm Oil,Oil,16-02-2025,Bangalore,10582,packages
BF2025020247,Sunflower Oil,Oil,06-02-2025,Bangalore,9136,packages
BF2025020248,Palm Oil,Oil,28-02-2025,Bangalore,6869,packages
BF2025020249,Black Rice,Rice,13-02-2025,Hyderabad,6213,packages
BF2025020250,Basmati,Rice,19-02-2025,Hyderabad,7485,packages
BF2025020251,Ponni Rice,Rice,05-02-2025,Hyderabad,6395,packages
BF2025020252,Sona Masoori,Rice,08-02-2025,Hyderabad,14143,packages
BF2025020253,Maida,Flour,20-02-2025,Hyderabad,17708,packages
BF2025020254,Jowar Flour,Flour,17-02-2025,Hyderabad,12381,packages
BF2025020255,Ragi Flour,Flour,15-02-2025,Hyderabad,19092,packages
BF2025020256,Jowar Flour,Flour,19-02-2025,Hyderabad,10003,packages
BF2025020257,Wheat Flour,Flour,19-02-2025,Hyderabad,14988,packages
BF2025020258,Rice Flour,Flour,24-02-2025,Hyderabad,17496,packages
BF2025020259,Maida,Flour,07-02-2025,Hyderabad,9335,packages
BF2025020260,Good Day,Biscuit,06-02-2025,Hyderabad,7847,packages
BF2025020261,Monaco,Biscuit,18-02-2025,Hyderabad,7564,packages
BF2025020262,Crack Jack,Biscuit,01-02-2025,Hyderabad,12381,packages
BF2025020263,Krackjack,Biscuit,23-02-2025,Hyderabad,9771,packages
BF2025020264,Dabur Red,Toothpaste,08-02-2025,Kolkata,16582,packages
BF2025020265,Promise,Toothpaste,10-02-2025,Kolkata,6166,packages
BF2025020266,Sensodyne,Toothpaste,22-02-2025,Kolkata,9334,packages
BF2025020267,Sensodyne,Toothpaste,26-02-2025,Kolkata,11965,packages
BF2025020268,Pears,Soap,18-02-2025,Kolkata,15610,packages
BF2025020269,Santoor,Soap,05-02-2025,Kolkata,18543,packages
BF2025020270,Dettol,Soap,05-02-2025,Kolkata,5977,packages
BF2025020271,Santoor,Soap,06-02-2025,Kolkata,14749,packages
BF2025020272,Palm Oil,Oil,10-02-2025,Kolkata,7037,packages
BF2025020273,Groundnut Oil,Oil,15-02-2025,Kolkata,16464,packages
BF2025020274,Groundnut Oil,Oil,13-02-2025,Kolkata,13199,packages
BF2025020275,Palm Oil,Oil,18-02-2025,Kolkata,12172,packages
BF2025020276,Sunflower Oil,Oil,03-02-2025,Kolkata,19572,packages
BF2025020277,Soybean Oil,Oil,14-02-2025,Kolkata,14891,packages
BF2025020278,Sunflower Oil,Oil,09-02-2025,Kolkata,6496,packages
BF2025020279,Sunflower Oil,Oil,08-02-2025,Kolkata,17529,packages
BF2025030280,Parle-G,Biscuit,19-03-2025,Kolhapur,17502,packages
BF2025030281,Hide & Seek,Biscuit,25-03-2025,Kolhapur,12708,packages
BF2025030282,Krackjack,Biscuit,17-03-2025,Kolhapur,9557,packages
BF2025030283,Crack Jack,Biscuit,06-03-2025,Kolhapur,15400,packages
BF2025030284,Krackjack,Biscuit,27-03-2025,Kolhapur,6494,packages
BF2025030285,Bourbon,Biscuit,16-03-2025,Kolhapur,11690,packages
BF2025030286,5 Star,Chocolate,11-03-2025,Kolhapur,19053,packages
BF2025030287,Snickers,Chocolate,06-03-2025,Kolhapur,11744,packages
BF2025030288,Mars,Chocolate,23-03-2025,Kolhapur,9722,packages
BF2025030289,Twix,Chocolate,22-03-2025,Kolhapur,18329,packages
BF2025030290,Dairy Milk,Chocolate,25-03-2025,Kolhapur,12451,packages
BF2025030291,Snickers,Chocolate,03-03-2025,Kolhapur,9135,packages
BF2025030292,Jowar Flour,Flour,04-03-2025,Kolhapur,19170,packages
BF2025030293,Wheat Flour,Flour,17-03-2025,Kolhapur,15775,packages
BF2025030294,Multigrain Flour,Flour,28-03-2025,Kolhapur,11770,packages
BF2025030295,Maida,Flour,02-03-2025,Kolhapur,13494,packages
BF2025030296,Multigrain Flour,Flour,12-03-2025,Kolhapur,15246,packages
BF2025030297,Wheat Flour,Flour,15-03-2025,Kolhapur,8335,packages
BF2025030298,Bingo,Chips,18-03-2025,Pune,9719,packages
BF2025030299,Uncle Chips,Chips,15-03-2025,Pune,6989,packages
BF2025030300,Pringles,Chips,01-03-2025,Pune,16629,packages
BF2025030301,Balaji,Chips,06-03-2025,Pune,14024,packages
BF2025030302,Cheetos,Chips,01-03-2025,Pune,6527,packages
BF2025030303,Kurkure,Chips,08-03-2025,Pune,12560,packages
BF2025030304,Sprite,Beverage,21-03-2025,Pune,13165,packages
BF2025030305,Thums Up,Beverage,23-03-2025,Pune,13337,packages
BF2025030306,Thums Up,Beverage,23-03-2025,Pune,11807,packages
BF2025030307,Limca,Beverage,27-03-2025,Pune,12736,packages
BF2025030308,Mustard Oil,Oil,15-03-2025,Pune,11284,packages
BF2025030309,Mustard Oil,Oil,07-03-2025,Pune,19156,packages
BF2025030310,Groundnut Oil,Oil,03-03-2025,Pune,17659,packages
BF2025030311,Rice Bran Oil,Oil,26-03-2025,Pune,10568,packages
BF2025030312,Groundnut Oil,Oil,26-03-2025,Pune,18443,packages
BF2025030313,Santoor,Soap,10-03-2025,Mumbai,18721,packages
BF2025030314,Godrej,Soap,19-03-2025,Mumbai,19176,packages
BF2025030315,Godrej,Soap,05-03-2025,Mumbai,13824,packages
BF2025030316,Hamam,Soap,16-03-2025,Mumbai,10446,packages
BF2025030317,Mountain Dew,Beverage,25-03-2025,Mumbai,12460,packages
BF2025030318,Fanta,Beverage,11-03-2025,Mumbai,16427,packages
BF2025030319,Mountain Dew,Beverage,08-03-2025,Mumbai,8826,packages
BF2025030320,Mountain Dew,Beverage,28-03-2025,Mumbai,5715,packages
BF2025030321,Limca,Beverage,11-03-2025,Mumbai,16554,packages
BF2025030322,Mountain Dew,Beverage,26-03-2025,Mumbai,11325,packages
BF2025030323,Sprite,Beverage,22-03-2025,Mumbai,13115,packages
BF2025030324,Sprite,Beverage,02-03-2025,Mumbai,13229,packages
BF2025030325,Dove,Shampoo,11-03-2025,Mumbai,19322,packages
BF2025030326,Garnier,Shampoo,28-03-2025,Mumbai,6633,packages
BF2025030327,Garnier,Shampoo,17-03-2025,Mumbai,5251,packages
BF2025030328,Head & Shoulders,Shampoo,24-03-2025,Mumbai,11717,packages
BF2025030329,Head & Shoulders,Shampoo,28-03-2025,Mumbai,6225,packages
BF2025030330,Loreal,Shampoo,16-03-2025,Mumbai,10546,packages
BF2025030331,Tresemme,Shampoo,20-03-2025,Mumbai,15646,packages
BF2025030332,Sunsilk,Shampoo,03-03-2025,Mumbai,18964,packages
BF2025030333,Snickers,Chocolate,13-03-2025,Delhi,15269,packages
BF2025030334,Mars,Chocolate,23-03-2025,Delhi,19293,packages
BF2025030335,Dairy Milk,Chocolate,18-03-2025,Delhi,15116,packages
BF2025030336,Munch,Chocolate,03-03-2025,Delhi,15340,packages
BF2025030337,Kit Kat,Chocolate,22-03-2025,Delhi,8727,packages
BF2025030338,5 Star,Chocolate,24-03-2025,Delhi,12110,packages
BF2025030339,5 Star,Chocolate,04-03-2025,Delhi,12269,packages
BF2025030340,Kit Kat,Chocolate,06-03-2025,Delhi,19801,packages
BF2025030341,Haldirams,Chips,02-03-2025,Delhi,18044,packages
BF2025030342,Balaji,Chips,02-03-2025,Delhi,10873,packages
BF2025030343,Cheetos,Chips,12-03-2025,Delhi,7385,packages
BF2025030344,Cheetos,Chips,08-03-2025,Delhi,14272,packages
BF2025030345,Close Up,Toothpaste,06-03-2025,Delhi,6293,packages
BF2025030346,Anchor,Toothpaste,20-03-2025,Delhi,15153,packages
BF2025030347,Sensodyne,Toothpaste,22-03-2025,Delhi,13153,packages
BF2025030348,Close Up,Toothpaste,19-03-2025,Delhi,8804,packages
BF2025030349,Dabur Red,Toothpaste,15-03-2025,Delhi,12529,packages
BF2025030350,Lux,Soap,22-03-2025,Chennai,19727,packages
BF2025030351,Godrej,Soap,26-03-2025,Chennai,19765,packages
BF2025030352,Lifebuoy,Soap,10-03-2025,Chennai,6210,packages
BF2025030353,Hamam,Soap,15-03-2025,Chennai,14626,packages
BF2025030354,Medimix,Soap,10-03-2025,Chennai,16310,packages
BF2025030355,Godrej,Soap,09-03-2025,Chennai,18849,packages
BF2025030356,Crack Jack,Biscuit,07-03-2025,Chennai,18981,packages
BF2025030357,Monaco,Biscuit,16-03-2025,Chennai,8886,packages
BF2025030358,Bourbon,Biscuit,13-03-2025,Chennai,14417,packages
BF2025030359,Marie Gold,Biscuit,10-03-2025,Chennai,5359,packages
BF2025030360,Crack Jack,Biscuit,27-03-2025,Chennai,9497,packages
BF2025030361,Parle-G,Biscuit,01-03-2025,Chennai,19919,packages
BF2025030362,Black Rice,Rice,24-03-2025,Chennai,18645,packages
BF2025030363,Jasmine Rice,Rice,10-03-2025,Chennai,14946,packages
BF2025030364,Matt Rice,Rice,26-03-2025,Chennai,8588,packages
BF2025030365,Jasmine Rice,Rice,21-03-2025,Chennai,15172,packages
BF2025030366,Brown Rice,Rice,09-03-2025,Chennai,15293,packages
BF2025030367,Basmati,Rice,04-03-2025,Chennai,10061,packages
BF2025030368,Black Rice,Rice,26-03-2025,Chennai,5546,packages
BF2025030369,Matt Rice,Rice,19-03-2025,Chennai,16998,packages
BF2025030370,Loreal,Shampoo,03-03-2025,Bangalore,10352,packages
BF2025030371,Tresemme,Shampoo,24-03-2025,Bangalore,7877,packages
BF2025030372,Head & Shoulders,Shampoo,07-03-2025,Bangalore,17886,packages
BF2025030373,Sunsilk,Shampoo,18-03-2025,Bangalore,13697,packages
BF2025030374,Loreal,Shampoo,17-03-2025,Bangalore,18606,packages
