Batch_ID,DR_Product_Category,DR_Dealer_Name,DR_Received_Quantity,DR_Receipt_Date,DR_City,DR_Transit
BF2025010018,Flour,Dealer30,484,09-02-2025,Delhi,1
BF2025010018,Flour,Dealer11,682,08-02-2025,Pune,3
BF2025010018,Flour,Dealer14,948,08-02-2025,Chennai,2
BF2025010019,Flour,Dealer24,2431,24-01-2025,Mumbai,2
BF2025010019,Flour,Dealer23,584,25-01-2025,Delhi,1
BF2025010019,Flour,Dealer30,5729,25-01-2025,Kolkata,1
BF2025010019,Flour,Dealer3,2893,31-01-2025,Chennai,3
BF2025010019,Flour,Dealer7,329,28-01-2025,Bangalore,2
BF2025010019,Flour,Dealer6,4714,04-02-2025,Delhi,3
BF2025010020,Flour,Dealer17,3219,16-01-2025,Ahmedabad,2
BF2025010020,Flour,Dealer27,4172,16-01-2025,Delhi,1
BF2025010020,Flour,Dealer6,1577,23-01-2025,Ahmedabad,3
BF2025010020,Flour,Dealer1,2309,26-01-2025,Kolkata,3
BF2025010020,Flour,Dealer2,4727,27-01-2025,Bangalore,1
BF2025010021,Chips,Dealer16,994,20-01-2025,Bangalore,3
BF2025010021,Chips,Dealer18,1327,20-01-2025,Pune,1
BF2025010021,Chips,Dealer8,501,24-01-2025,Ahmedabad,1
BF2025010021,Chips,Dealer26,33,25-01-2025,Bangalore,2
BF2025010021,Chips,Dealer3,1685,22-01-2025,Kolkata,1
BF2025010021,Chips,Dealer15,2442,28-01-2025,Chennai,1
BF2025010022,Chips,Dealer18,2338,15-01-2025,Kolkata,3
BF2025010022,Chips,Dealer12,1157,14-01-2025,Bangalore,1
BF2025010022,Chips,Dealer7,661,15-01-2025,Kolkata,1
BF2025010022,Chips,Dealer14,1893,23-01-2025,Chennai,2
BF2025010023,Chips,Dealer10,2021,17-01-2025,Ahmedabad,3
BF2025010023,Chips,Dealer21,4174,18-01-2025,Hyderabad,3
BF2025010023,Chips,Dealer24,892,19-01-2025,Delhi,3
BF2025010023,Chips,Dealer18,1416,18-01-2025,Pune,1
BF2025010023,Chips,Dealer26,3114,20-01-2025,Mumbai,2
BF2025010023,Chips,Dealer9,3021,25-01-2025,Bangalore,1
BF2025010024,Chips,Dealer23,866,22-01-2025,Ahmedabad,1
BF2025010024,Chips,Dealer15,141,25-01-2025,Pune,1
BF2025010024,Chips,Dealer24,2080,26-01-2025,Mumbai,1
BF2025010024,Chips,Dealer1,4026,26-01-2025,Pune,2
BF2025010024,Chips,Dealer8,7528,01-02-2025,Kolkata,3
BF2025010025,Chips,Dealer18,3586,14-01-2025,Kolkata,2
BF2025010025,Chips,Dealer16,1000,17-01-2025,Chennai,3
BF2025010025,Chips,Dealer6,1527,20-01-2025,Pune,2
BF2025010025,Chips,Dealer7,50,17-01-2025,Ahmedabad,2
BF2025010026,Chips,Dealer17,1394,28-01-2025,Mumbai,1
BF2025010026,Chips,Dealer22,3439,30-01-2025,Ahmedabad,1
BF2025010026,Chips,Dealer7,3350,03-02-2025,Bangalore,1
BF2025010026,Chips,Dealer16,567,31-01-2025,Hyderabad,1
BF2025010027,Beverage,Dealer28,984,08-01-2025,Kolkata,2
BF2025010027,Beverage,Dealer22,1807,09-01-2025,Pune,2
BF2025010027,Beverage,Dealer7,62,09-01-2025,Ahmedabad,1
BF2025010027,Beverage,Dealer4,3307,16-01-2025,Delhi,1
BF2025010028,Beverage,Dealer25,2072,22-01-2025,Mumbai,3
BF2025010028,Beverage,Dealer3,1021,23-01-2025,Ahmedabad,3
BF2025010028,Beverage,Dealer8,2925,22-01-2025,Hyderabad,1
BF2025010028,Beverage,Dealer6,2291,29-01-2025,Hyderabad,1
BF2025010028,Beverage,Dealer16,181,29-01-2025,Chennai,2
BF2025010028,Beverage,Dealer29,1072,25-01-2025,Kolkata,1
BF2025010029,Beverage,Dealer24,1732,27-01-2025,Bangalore,1
BF2025010029,Beverage,Dealer5,1164,31-01-2025,Delhi,2
BF2025010029,Beverage,Dealer9,2754,29-01-2025,Delhi,1
BF2025010029,Beverage,Dealer2,750,02-02-2025,Bangalore,1
BF2025010029,Beverage,Dealer16,737,05-02-2025,Hyderabad,2
BF2025010029,Beverage,Dealer23,1373,06-02-2025,Pune,1
BF2025010030,Beverage,Dealer24,1132,25-01-2025,Bangalore,3
BF2025010030,Beverage,Dealer6,3406,27-01-2025,Kolkata,3
BF2025010030,Beverage,Dealer1,3110,29-01-2025,Hyderabad,1
BF2025010030,Beverage,Dealer20,2546,26-01-2025,Mumbai,1
BF2025010030,Beverage,Dealer12,1830,05-02-2025,Mumbai,2
BF2025010030,Beverage,Dealer25,2476,30-01-2025,Delhi,3
BF2025010030,Beverage,Dealer27,2351,30-01-2025,Pune,2
BF2025010031,Oil,Dealer4,2109,22-01-2025,Chennai,1
BF2025010031,Oil,Dealer16,1276,26-01-2025,Mumbai,2
BF2025010031,Oil,Dealer7,1609,25-01-2025,Chennai,2
BF2025010031,Oil,Dealer2,2049,31-01-2025,Ahmedabad,1
BF2025010031,Oil,Dealer19,1938,26-01-2025,Ahmedabad,1
BF2025010032,Oil,Dealer12,3274,30-01-2025,Pune,1
BF2025010032,Oil,Dealer18,2903,03-02-2025,Mumbai,2
BF2025010032,Oil,Dealer24,5573,03-02-2025,Mumbai,1
BF2025010032,Oil,Dealer29,6480,03-02-2025,Mumbai,2
BF2025010033,Oil,Dealer24,781,17-01-2025,Kolkata,1
BF2025010033,Oil,Dealer8,2166,22-01-2025,Mumbai,3
BF2025010033,Oil,Dealer18,1024,23-01-2025,Hyderabad,1
BF2025010033,Oil,Dealer13,2574,26-01-2025,Ahmedabad,1
BF2025010034,Oil,Dealer29,1167,08-01-2025,Kolkata,1
BF2025010034,Oil,Dealer4,1517,11-01-2025,Kolkata,1
BF2025010034,Oil,Dealer6,1231,14-01-2025,Hyderabad,1
BF2025010034,Oil,Dealer26,1384,18-01-2025,Chennai,2
BF2025010034,Oil,Dealer28,2154,20-01-2025,Chennai,1
BF2025010034,Oil,Dealer18,2082,20-01-2025,Bangalore,3
BF2025010034,Oil,Dealer13,1269,21-01-2025,Ahmedabad,2
BF2025010035,Oil,Dealer13,2042,19-01-2025,Delhi,1
BF2025010035,Oil,Dealer1,3912,22-01-2025,Pune,3
BF2025010035,Oil,Dealer24,1188,25-01-2025,Hyderabad,3
BF2025010035,Oil,Dealer2,1182,23-01-2025,Delhi,2
BF2025010035,Oil,Dealer10,873,28-01-2025,Hyderabad,2
BF2025010035,Oil,Dealer20,3369,04-02-2025,Chennai,2
BF2025010035,Oil,Dealer29,85,27-01-2025,Bangalore,3
BF2025010036,Oil,Dealer3,419,01-02-2025,Bangalore,2
BF2025010036,Oil,Dealer19,1749,01-02-2025,Kolkata,1
BF2025010036,Oil,Dealer13,2600,03-02-2025,Pune,2
BF2025010036,Oil,Dealer29,2631,06-02-2025,Hyderabad,1
BF2025010036,Oil,Dealer7,4845,10-02-2025,Kolkata,3
BF2025010036,Oil,Dealer24,3788,07-02-2025,Chennai,3
BF2025010037,Oil,Dealer21,1766,28-01-2025,Chennai,3
BF2025010037,Oil,Dealer25,238,29-01-2025,Pune,3
BF2025010037,Oil,Dealer13,3124,02-02-2025,Kolkata,2
BF2025010037,Oil,Dealer2,865,01-02-2025,Mumbai,1
BF2025010038,Oil,Dealer14,1941,18-01-2025,Kolkata,3
BF2025010038,Oil,Dealer10,1211,19-01-2025,Delhi,1
BF2025010038,Oil,Dealer26,8384,20-01-2025,Ahmedabad,3
BF2025010038,Oil,Dealer13,723,27-01-2025,Chennai,3
BF2025010038,Oil,Dealer5,5857,24-01-2025,Kolkata,1
BF2025010039,Soap,Dealer18,897,11-01-2025,Kolkata,1
BF2025010039,Soap,Dealer20,982,14-01-2025,Hyderabad,2
BF2025010039,Soap,Dealer24,1586,16-01-2025,Chennai,2
BF2025010039,Soap,Dealer17,2526,18-01-2025,Hyderabad,2
BF2025010039,Soap,Dealer8,2125,23-01-2025,Pune,1
BF2025010040,Soap,Dealer6,1487,25-01-2025,Mumbai,3
BF2025010040,Soap,Dealer12,1049,27-01-2025,Pune,2
BF2025010040,Soap,Dealer20,2201,25-01-2025,Delhi,1
BF2025010040,Soap,Dealer27,556,30-01-2025,Pune,2
BF2025010040,Soap,Dealer26,1632,31-01-2025,Mumbai,1
BF2025010040,Soap,Dealer15,371,03-02-2025,Ahmedabad,2
BF2025010041,Soap,Dealer1,1086,20-01-2025,Pune,3
BF2025010041,Soap,Dealer11,1487,21-01-2025,Delhi,2
BF2025010041,Soap,Dealer7,1087,20-01-2025,Bangalore,1
BF2025010041,Soap,Dealer24,1235,22-01-2025,Bangalore,2
BF2025010041,Soap,Dealer18,1967,23-01-2025,Ahmedabad,2
BF2025010041,Soap,Dealer28,1377,02-02-2025,Pune,1
BF2025010041,Soap,Dealer25,1324,25-01-2025,Kolkata,2
BF2025010042,Soap,Dealer22,1506,19-01-2025,Mumbai,1
BF2025010042,Soap,Dealer28,4540,21-01-2025,Chennai,2
BF2025010042,Soap,Dealer30,1986,25-01-2025,Ahmedabad,1
BF2025010042,Soap,Dealer12,5035,28-01-2025,Pune,1
BF2025010042,Soap,Dealer4,2613,25-01-2025,Chennai,3
BF2025010042,Soap,Dealer1,3647,03-02-2025,Bangalore,1
BF2025010043,Beverage,Dealer16,1113,18-01-2025,Bangalore,1
BF2025010043,Beverage,Dealer13,576,22-01-2025,Pune,3
BF2025010043,Beverage,Dealer24,490,24-01-2025,Bangalore,1
BF2025010043,Beverage,Dealer6,1615,23-01-2025,Delhi,3
BF2025010043,Beverage,Dealer1,1587,27-01-2025,Kolkata,2
BF2025010043,Beverage,Dealer12,447,03-02-2025,Delhi,2
BF2025010044,Beverage,Dealer24,2346,24-01-2025,Bangalore,1
BF2025010044,Beverage,Dealer13,2393,27-01-2025,Hyderabad,1
BF2025010044,Beverage,Dealer17,870,29-01-2025,Delhi,2
BF2025010044,Beverage,Dealer22,919,28-01-2025,Delhi,2
BF2025010045,Beverage,Dealer28,1460,31-01-2025,Hyderabad,2
BF2025010045,Beverage,Dealer5,376,02-02-2025,Mumbai,3
BF2025010045,Beverage,Dealer10,2770,02-02-2025,Hyderabad,2
BF2025010045,Beverage,Dealer23,2715,02-02-2025,Pune,1
BF2025010045,Beverage,Dealer29,403,07-02-2025,Kolkata,1
BF2025010046,Beverage,Dealer10,728,20-01-2025,Chennai,2
BF2025010046,Beverage,Dealer15,894,22-01-2025,Pune,3
BF2025010046,Beverage,Dealer24,626,23-01-2025,Mumbai,1
BF2025010046,Beverage,Dealer27,124,28-01-2025,Ahmedabad,1
BF2025010046,Beverage,Dealer21,4694,24-01-2025,Ahmedabad,2
BF2025010046,Beverage,Dealer28,2937,04-02-2025,Hyderabad,2
BF2025010046,Beverage,Dealer9,2883,26-01-2025,Kolkata,2
BF2025010047,Shampoo,Dealer16,3832,01-02-2025,Ahmedabad,2
BF2025010047,Shampoo,Dealer5,75,04-02-2025,Ahmedabad,2
BF2025010047,Shampoo,Dealer6,1351,06-02-2025,Hyderabad,1
BF2025010047,Shampoo,Dealer7,2068,08-02-2025,Chennai,3
BF2025010047,Shampoo,Dealer8,3717,09-02-2025,Kolkata,2
BF2025010047,Shampoo,Dealer2,4948,07-02-2025,Kolkata,3
BF2025010047,Shampoo,Dealer14,3794,18-02-2025,Hyderabad,1
BF2025010048,Shampoo,Dealer20,2185,08-01-2025,Kolkata,2
BF2025010048,Shampoo,Dealer24,1960,11-01-2025,Pune,2
BF2025010048,Shampoo,Dealer19,1296,13-01-2025,Kolkata,1
BF2025010048,Shampoo,Dealer30,1124,17-01-2025,Pune,2
BF2025010048,Shampoo,Dealer18,2059,12-01-2025,Bangalore,2
BF2025010048,Shampoo,Dealer17,105,17-01-2025,Kolkata,1
BF2025010048,Shampoo,Dealer21,2480,19-01-2025,Bangalore,1
BF2025010049,Shampoo,Dealer6,2510,06-01-2025,Delhi,1
BF2025010049,Shampoo,Dealer14,1285,10-01-2025,Kolkata,3
BF2025010049,Shampoo,Dealer10,1791,11-01-2025,Ahmedabad,2
BF2025010049,Shampoo,Dealer20,250,11-01-2025,Delhi,3
BF2025010049,Shampoo,Dealer2,1388,16-01-2025,Chennai,3
BF2025010049,Shampoo,Dealer23,498,18-01-2025,Mumbai,3
BF2025010049,Shampoo,Dealer17,1623,19-01-2025,Hyderabad,2
BF2025010050,Shampoo,Dealer23,1963,02-02-2025,Kolkata,3
BF2025010050,Shampoo,Dealer24,263,05-02-2025,Kolkata,3
BF2025010050,Shampoo,Dealer4,2186,03-02-2025,Delhi,2
BF2025010050,Shampoo,Dealer3,2247,06-02-2025,Delhi,1
BF2025010050,Shampoo,Dealer15,3014,05-02-2025,Delhi,2
BF2025010051,Shampoo,Dealer25,1030,17-01-2025,Pune,1
BF2025010051,Shampoo,Dealer23,2553,21-01-2025,Bangalore,2
BF2025010051,Shampoo,Dealer2,1482,21-01-2025,Ahmedabad,3
BF2025010051,Shampoo,Dealer14,2081,24-01-2025,Ahmedabad,2
BF2025010051,Shampoo,Dealer10,390,31-01-2025,Pune,3
BF2025010052,Chocolate,Dealer8,723,15-01-2025,Delhi,3
BF2025010052,Chocolate,Dealer7,979,16-01-2025,Pune,3
BF2025010052,Chocolate,Dealer19,10,21-01-2025,Hyderabad,3
BF2025010052,Chocolate,Dealer22,1436,18-01-2025,Delhi,3
BF2025010052,Chocolate,Dealer16,452,19-01-2025,Bangalore,3
BF2025010052,Chocolate,Dealer15,1023,23-01-2025,Mumbai,1
BF2025010052,Chocolate,Dealer14,1335,20-01-2025,Mumbai,2
BF2025010053,Chocolate,Dealer6,3063,25-01-2025,Hyderabad,3
BF2025010053,Chocolate,Dealer30,2502,27-01-2025,Mumbai,3
BF2025010053,Chocolate,Dealer22,2458,27-01-2025,Mumbai,1
BF2025010053,Chocolate,Dealer10,4225,29-01-2025,Ahmedabad,1
BF2025010053,Chocolate,Dealer20,3276,28-01-2025,Mumbai,2
BF2025010053,Chocolate,Dealer28,1574,07-02-2025,Bangalore,1
BF2025010053,Chocolate,Dealer23,156,05-02-2025,Kolkata,2
BF2025010054,Chocolate,Dealer23,1153,16-01-2025,Bangalore,1
BF2025010054,Chocolate,Dealer7,1971,18-01-2025,Hyderabad,1
BF2025010054,Chocolate,Dealer20,1064,20-01-2025,Hyderabad,1
BF2025010054,Chocolate,Dealer2,176,20-01-2025,Ahmedabad,2
BF2025010054,Chocolate,Dealer4,1457,28-01-2025,Ahmedabad,1
BF2025010055,Chocolate,Dealer26,10,25-01-2025,Hyderabad,3
BF2025010055,Chocolate,Dealer6,92,26-01-2025,Chennai,2
BF2025010055,Chocolate,Dealer20,2424,25-01-2025,Chennai,1
BF2025010055,Chocolate,Dealer8,457,01-02-2025,Bangalore,1
BF2025010055,Chocolate,Dealer23,3286,01-02-2025,Mumbai,2
BF2025010055,Chocolate,Dealer10,3098,04-02-2025,Bangalore,3
BF2025010055,Chocolate,Dealer7,3871,12-02-2025,Hyderabad,3
BF2025010056,Chocolate,Dealer4,2782,02-02-2025,Ahmedabad,2
BF2025010056,Chocolate,Dealer22,2364,04-02-2025,Pune,2
BF2025010056,Chocolate,Dealer11,111,08-02-2025,Delhi,2
BF2025010056,Chocolate,Dealer13,674,08-02-2025,Delhi,2
BF2025010057,Chips,Dealer29,119,08-01-2025,Mumbai,2
BF2025010057,Chips,Dealer28,1073,08-01-2025,Bangalore,1
BF2025010057,Chips,Dealer18,1163,09-01-2025,Hyderabad,1
BF2025010057,Chips,Dealer11,1397,15-01-2025,Delhi,3
BF2025010057,Chips,Dealer15,1143,19-01-2025,Kolkata,1
BF2025010057,Chips,Dealer14,38,13-01-2025,Mumbai,2
BF2025010057,Chips,Dealer24,1189,19-01-2025,Hyderabad,1
BF2025010058,Chips,Dealer9,5919,27-01-2025,Delhi,3
BF2025010058,Chips,Dealer14,2506,27-01-2025,Hyderabad,2
BF2025010058,Chips,Dealer3,5596,29-01-2025,Chennai,3
BF2025010058,Chips,Dealer16,2041,29-01-2025,Ahmedabad,2
BF2025010059,Chips,Dealer26,969,01-02-2025,Delhi,1
BF2025010059,Chips,Dealer16,2133,04-02-2025,Delhi,3
BF2025010059,Chips,Dealer29,3032,03-02-2025,Pune,1
BF2025010059,Chips,Dealer17,5481,09-02-2025,Kolkata,3
BF2025010060,Chips,Dealer1,5424,08-01-2025,Bangalore,2
BF2025010060,Chips,Dealer10,4690,09-01-2025,Bangalore,2
BF2025010060,Chips,Dealer30,687,15-01-2025,Chennai,3
BF2025010060,Chips,Dealer2,3684,14-01-2025,Chennai,2
BF2025010061,Chips,Dealer10,6704,26-01-2025,Mumbai,2
BF2025010061,Chips,Dealer9,1787,27-01-2025,Hyderabad,2
BF2025010061,Chips,Dealer18,2268,02-02-2025,Hyderabad,3
BF2025010061,Chips,Dealer11,4157,31-01-2025,Delhi,1
BF2025010061,Chips,Dealer25,231,08-02-2025,Bangalore,3
BF2025010062,Chips,Dealer6,2597,07-01-2025,Pune,2
BF2025010062,Chips,Dealer3,3398,08-01-2025,Kolkata,2
BF2025010062,Chips,Dealer10,996,12-01-2025,Delhi,3
BF2025010062,Chips,Dealer20,3605,15-01-2025,Ahmedabad,1
BF2025010062,Chips,Dealer29,5174,18-01-2025,Hyderabad,1
BF2025010063,Chips,Dealer11,2321,25-01-2025,Mumbai,2
BF2025010063,Chips,Dealer27,225,26-01-2025,Bangalore,1
BF2025010063,Chips,Dealer7,2644,30-01-2025,Ahmedabad,1
BF2025010063,Chips,Dealer23,2190,01-02-2025,Chennai,3
BF2025010063,Chips,Dealer25,1626,28-01-2025,Delhi,1
BF2025010063,Chips,Dealer22,266,09-02-2025,Bangalore,2
BF2025010064,Chips,Dealer13,2082,12-01-2025,Delhi,2
BF2025010064,Chips,Dealer6,138,14-01-2025,Mumbai,1
BF2025010064,Chips,Dealer23,2180,16-01-2025,Mumbai,2
BF2025010064,Chips,Dealer22,1612,17-01-2025,Mumbai,1
BF2025010064,Chips,Dealer11,2115,20-01-2025,Ahmedabad,2
BF2025010064,Chips,Dealer26,783,21-01-2025,Kolkata,1
BF2025010065,Toothpaste,Dealer20,2111,17-01-2025,Hyderabad,1
BF2025010065,Toothpaste,Dealer8,1871,22-01-2025,Chennai,3
BF2025010065,Toothpaste,Dealer18,4470,19-01-2025,Mumbai,1
BF2025010065,Toothpaste,Dealer6,3245,26-01-2025,Ahmedabad,1
BF2025010065,Toothpaste,Dealer16,4307,21-01-2025,Ahmedabad,1
BF2025010066,Toothpaste,Dealer18,3856,27-01-2025,Pune,3
BF2025010066,Toothpaste,Dealer4,280,26-01-2025,Chennai,1
BF2025010066,Toothpaste,Dealer27,438,28-01-2025,Pune,2
BF2025010066,Toothpaste,Dealer15,3281,28-01-2025,Delhi,1
BF2025010066,Toothpaste,Dealer6,3109,04-02-2025,Bangalore,3
BF2025010066,Toothpaste,Dealer10,1527,04-02-2025,Ahmedabad,1
BF2025010067,Toothpaste,Dealer7,929,15-01-2025,Pune,1
BF2025010067,Toothpaste,Dealer22,1486,20-01-2025,Kolkata,3
BF2025010067,Toothpaste,Dealer29,495,19-01-2025,Bangalore,3
BF2025010067,Toothpaste,Dealer11,1535,20-01-2025,Hyderabad,3
BF2025010067,Toothpaste,Dealer10,707,29-01-2025,Pune,3
BF2025010068,Toothpaste,Dealer23,797,20-01-2025,Hyderabad,1
BF2025010068,Toothpaste,Dealer18,2046,24-01-2025,Kolkata,2
BF2025010068,Toothpaste,Dealer27,226,24-01-2025,Kolkata,1
BF2025010068,Toothpaste,Dealer12,3131,26-01-2025,Chennai,1
BF2025010069,Toothpaste,Dealer16,4031,21-01-2025,Pune,1
BF2025010069,Toothpaste,Dealer5,1720,23-01-2025,Pune,2
BF2025010069,Toothpaste,Dealer7,1992,24-01-2025,Ahmedabad,2
BF2025010069,Toothpaste,Dealer18,1377,01-02-2025,Kolkata,3
BF2025010069,Toothpaste,Dealer13,4168,26-01-2025,Mumbai,2
BF2025010070,Toothpaste,Dealer21,2664,14-01-2025,Ahmedabad,2
BF2025010070,Toothpaste,Dealer26,2072,16-01-2025,Hyderabad,2
BF2025010070,Toothpaste,Dealer14,2772,16-01-2025,Delhi,2
BF2025010070,Toothpaste,Dealer28,1857,19-01-2025,Pune,1
BF2025010070,Toothpaste,Dealer15,1353,25-01-2025,Ahmedabad,1
BF2025010071,Soap,Dealer23,1670,11-01-2025,Ahmedabad,1
BF2025010071,Soap,Dealer17,1121,16-01-2025,Mumbai,3
BF2025010071,Soap,Dealer9,2989,13-01-2025,Bangalore,1
BF2025010071,Soap,Dealer14,1736,19-01-2025,Mumbai,3
BF2025010071,Soap,Dealer30,2153,25-01-2025,Mumbai,3
